,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date,Ratio
163,512165,ABANSENT,Abans Enterprises Ltd,26 Apr 2013,Bonus issue 1:1,07 May 2013,-,-,26 Apr 2013,11 May 2013,-,1:1
164,532038,EMMSONS,Emmsons International Ltd-$,08 May 2013,Bonus issue 1:1,09 May 2013,-,-,02 May 2013,08 May 2013,-,1:1
165,523319,BALMLAWRIE,Balmer Lawrie & Company Ltd,23 May 2013,Bonus issue 3:4,24 May 2013,-,-,17 May 2013,23 May 2013,-,3:4
166,512377,MAGANTR,Magnanimous Trade & finance Ltd,28 May 2013,Bonus issue 3:1,04 Jun 2013,-,-,28 May 2013,07 Jun 2013,-,3:1
167,524709,NACLIND,NACL Industries Ltd,30 May 2013,Bonus issue 3:14,01 Jun 2013,-,-,27 May 2013,30 May 2013,-,3:14
168,531597,MIDPOLY,Midland Polymers Ltd,10 Jun 2013,Bonus issue 1:1,11 Jun 2013,-,-,04 Jun 2013,10 Jun 2013,-,1:1
169,532928,TARIL,Transformers and Rectifiers (India) Ltd,13 Jun 2013,Bonus issue 1:9,14 Jun 2013,-,-,07 Jun 2013,13 Jun 2013,-,1:9
170,506532,NITTAGELA,Nitta Gelatin India Ltd-$,19 Jun 2013,Bonus issue 1:3,20 Jun 2013,-,-,13 Jun 2013,19 Jun 2013,-,1:3
171,507966,RASRESOR,Ras Resorts & Apart Hotels Ltd,21 Jun 2013,Bonus issue 1:5,-,25 Jun 2013,25 Jun 2013,19 Jun 2013,24 Jun 2013,-,1:5
172,531162,EMAMILTD,Emami Ltd-$,26 Jun 2013,Bonus issue 1:2,27 Jun 2013,-,-,20 Jun 2013,26 Jun 2013,-,1:2
173,532782,SUTLEJTEX,Sutlej Textiles and Industries Ltd,27 Jun 2013,Bonus issue 1:2,28 Jun 2013,-,-,21 Jun 2013,26 Jun 2013,-,1:2
174,533271,ASHOKA,Ashoka Buildcon Ltd,03 Jul 2013,Bonus issue 1:2,04 Jul 2013,-,-,27 Jun 2013,03 Jul 2013,-,1:2
175,501150,CENTRUM,Centrum Capital Ltd,03 Jul 2013,Bonus issue 5:1,04 Jul 2013,-,-,26 Jun 2013,03 Jul 2013,-,5:1
176,532366,PNBGILTS,PNB Gilts Ltd,03 Jul 2013,Bonus issue 1:3,04 Jul 2013,-,-,26 Jun 2013,03 Jul 2013,-,1:3
177,530117,PRIVISCL,Privi Speciality Chemicals Ltd,03 Jul 2013,Bonus issue 1:10,04 Jul 2013,-,-,27 Jun 2013,03 Jul 2013,-,1:10
178,532543,GULFPETRO,GP Petroleums Ltd,09 Jul 2013,Bonus issue 23:19,10 Jul 2013,-,-,03 Jul 2013,09 Jul 2013,-,23:19
179,531768,POLYMED,Poly Medicure Ltd,09 Jul 2013,Bonus issue 1:1,10 Jul 2013,-,-,03 Jul 2013,09 Jul 2013,-,1:1
180,500510,LT,Larsen & Toubro Ltd,11 Jul 2013,Bonus issue 1:2,13 Jul 2013,-,-,08 Jul 2013,11 Jul 2013,-,1:2
181,530549,SHILPAMED,Shilpa Medicare Ltd,16 Jul 2013,Bonus issue 1:2,-,18 Jul 2013,19 Jul 2013,11 Jul 2013,17 Jul 2013,-,1:2
182,500420,TORNTPHARM,Torrent Pharmaceuticals Ltd,23 Jul 2013,Bonus issue 1:1,24 Jul 2013,-,-,17 Jul 2013,23 Jul 2013,-,1:1
183,519552,HERITGFOOD,Heritage Foods Ltd,26 Jul 2013,Bonus issue 1:1,29 Jul 2013,-,-,22 Jul 2013,26 Jul 2013,-,1:1
184,524715,SUNPHARMA,Sun Pharmaceutical Industries Ltd,29 Jul 2013,Bonus issue 1:1,30 Jul 2013,-,-,23 Jul 2013,29 Jul 2013,-,1:1
185,505585,ZKOVALIN,Kovalam Investment & Trading Company Ltd ,29 Jul 2013,Bonus issue 13:10,07 Aug 2013,-,-,29 Jul 2013,12 Aug 2013,-,13:10
186,532371,TTML,Tata Teleservices (Maharashtra) Ltd,07 Aug 2013,Bonus issue 2:15,08 Aug 2013,-,-,01 Aug 2013,07 Aug 2013,-,2:15
187,519600,CCL,CCL Products (India) Ltd,19 Aug 2013,Bonus issue 1:1,20 Aug 2013,-,-,12 Aug 2013,19 Aug 2013,-,1:1
188,524470,SYNCOMF,Syncom Formulations India Ltd-$,19 Aug 2013,Bonus issue 5:2,20 Aug 2013,-,-,12 Aug 2013,19 Aug 2013,-,5:2
189,508954,FINKURVE,Finkurve Financial Services Ltd,22 Aug 2013,Bonus issue 6:1,23 Aug 2013,-,-,16 Aug 2013,22 Aug 2013,-,6:1
190,522163,DIACABS,Diamond Power Infrastructure Ltd-$,26 Aug 2013,Bonus issue 1:3,27 Aug 2013,-,-,26 Aug 2013,26 Aug 2013,-,1:3
191,531344,CONCOR,Container Corporation of India Ltd,06 Sep 2013,Bonus issue 1:2,10 Sep 2013,-,-,02 Sep 2013,06 Sep 2013,-,1:2
192,535466,SRL,Samruddhi Realty Ltd,11 Sep 2013,Bonus issue 1:5,12 Sep 2013,-,-,04 Sep 2013,11 Sep 2013,-,1:5
193,524648,INDOAMIN,Indo Amines Ltd-$,16 Sep 2013,Bonus issue 1:1,17 Sep 2013,-,-,12 Sep 2013,16 Sep 2013,-,1:1
194,532331,AJANTPHARM,Ajanta Pharma Ltd,17 Sep 2013,Bonus issue 1:2,18 Sep 2013,-,-,11 Sep 2013,17 Sep 2013,-,1:2
195,500360,RAPICUT,Rapicut Carbides Ltd,20 Sep 2013,Bonus issue 3:2,23 Sep 2013,-,-,19 Sep 2013,20 Sep 2013,-,3:2
196,519105,AVTNPL,AVT Natural Products Ltd,26 Sep 2013,Bonus issue 1:1,-,28 Sep 2013,28 Sep 2013,23 Sep 2013,26 Sep 2013,-,1:1
197,506235,ALEMBICLTD,Alembic Ltd,27 Sep 2013,Bonus issue 1:1,30 Sep 2013,-,-,23 Sep 2013,27 Sep 2013,-,1:1
198,513729,AROGRANITE,Aro Granite Industries Ltd-$,30 Oct 2013,Bonus issue 1:2,31 Oct 2013,-,-,24 Oct 2013,30 Oct 2013,-,1:2
199,532880,OMAXE,Omaxe Ltd,11 Nov 2013,Bonus issue 10:39,12 Nov 2013,-,-,05 Nov 2013,11 Nov 2013,-,10:39
200,517334,MOTHERSON,Samvardhana Motherson International Ltd,20 Dec 2013,Bonus issue 1:2,-,24 Dec 2013,24 Dec 2013,17 Dec 2013,23 Dec 2013,-,1:2
201,511208,IVC,IL&FS Investment Managers Ltd,26 Dec 2013,Bonus issue 1:2,-,28 Dec 2013,28 Dec 2013,20 Dec 2013,26 Dec 2013,-,1:2
202,531695,VERONICAPRO,Veronica Production Ltd,24 Jan 2014,Bonus issue 2:1,27 Jan 2014,-,-,20 Jan 2014,24 Jan 2014,-,2:1
203,534060,PMCFIN,PMC Fincorp Ltd,13 Mar 2014,Bonus issue 8:10,15 Mar 2014,-,-,10 Mar 2014,13 Mar 2014,-,8:10
204,532826,RAJTV,Raj Television Network Ltd,25 Mar 2014,Bonus issue 1:1,26 Mar 2014,-,-,20 Mar 2014,25 Mar 2014,-,1:1
205,530299,KOTHARIPRO,Kothari Products Ltd,28 Mar 2014,Bonus issue 2:1,02 Apr 2014,-,-,26 Mar 2014,01 Apr 2014,-,2:1
206,522249,MAYURUNIQ,Mayur Uniquoters Ltd-$,28 Mar 2014,Bonus issue 1:1,02 Apr 2014,-,-,26 Mar 2014,01 Apr 2014,-,1:1
207,507488,GMBREW,GM Breweries Ltd,16 May 2014,Bonus issue 1:4,-,20 May 2014,22 May 2014,12 May 2014,19 May 2014,-,1:4
208,534680,SRGHFL,SRG Housing Finance Ltd,29 May 2014,Bonus issue 2:5,30 May 2014,-,-,23 May 2014,29 May 2014,-,2:5
209,506401,DEEPAKNTR,Deepak Nitrite Ltd-$,20 Jun 2014,Bonus issue 1:1,23 Jun 2014,-,-,16 Jun 2014,20 Jun 2014,-,1:1
210,500250,LGBBROSLTD,LG Balakrishnan & Bros Ltd,04 Jul 2014,Bonus issue 1:1,-,08 Jul 2014,09 Jul 2014,30 Jun 2014,07 Jul 2014,-,1:1
211,530117,PRIVISCL,Privi Speciality Chemicals Ltd,09 Jul 2014,Bonus issue 1:10,10 Jul 2014,-,-,03 Jul 2014,09 Jul 2014,-,1:10
212,535136,NIBE,NIBE Ltd,18 Jul 2014,Bonus issue 2:1,21 Jul 2014,-,-,14 Jul 2014,18 Jul 2014,-,2:1
213,534618,WAAREERTL,Waaree Renewable Technologies Ltd,21 Jul 2014,Bonus issue 57:10,22 Jul 2014,-,-,16 Jul 2014,21 Jul 2014,-,57:10
214,536974,CPL,Captain Polyplast Ltd,24 Jul 2014,Bonus issue 1:5,26 Jul 2014,-,-,21 Jul 2014,24 Jul 2014,-,1:5
215,535387,LAKHOTIA,Lakhotia Polyesters (India) Ltd,25 Jul 2014,Bonus issue 18:10,28 Jul 2014,-,-,21 Jul 2014,25 Jul 2014,-,18:10
216,511176,PARSHWANA,Parshwanath Corporation Ltd,18 Sep 2014,Bonus issue 1:5,-,20 Sep 2014,20 Sep 2014,17 Sep 2014,18 Sep 2014,-,1:5
217,535466,SRL,Samruddhi Realty Ltd,18 Sep 2014,Bonus issue 1:5,19 Sep 2014,-,-,12 Sep 2014,18 Sep 2014,-,1:5
218,532410,TRANSCOR,Transcorp International Ltd,25 Sep 2014,Bonus issue 1:4,-,29 Sep 2014,29 Sep 2014,22 Sep 2014,26 Sep 2014,-,1:4
219,526739,SHAWGELTIN,Narmada Gelatines Ltd,26 Sep 2014,Bonus issue 1:2,-,30 Sep 2014,30 Sep 2014,25 Sep 2014,29 Sep 2014,-,1:2
220,534623,JUPITERIN,Jupiter Infomedia Ltd,29 Sep 2014,Bonus issue 1:1,30 Sep 2014,-,-,23 Sep 2014,29 Sep 2014,-,1:1
221,534532,LYPSAGEMS,Lypsa Gems & Jewellery Ltd,29 Sep 2014,Bonus issue 1:2,30 Sep 2014,-,-,23 Sep 2014,29 Sep 2014,-,1:2
222,506655,SUDARSCHEM,Sudarshan Chemical Industries Ltd,30 Sep 2014,Bonus issue 1:1,01 Oct 2014,-,-,24 Sep 2014,30 Sep 2014,-,1:1
223,532605,JBMA,JBM Auto Ltd,08 Oct 2014,Bonus issue 1:1,09 Oct 2014,-,-,29 Sep 2014,08 Oct 2014,-,1:1
224,531373,BYKE,Byke Hospitality Ltd,09 Oct 2014,Bonus issue 1:1,10 Oct 2014,-,-,01 Oct 2014,09 Oct 2014,-,1:1
225,530557,NCLRESE,NCL Research & Financial Services Ltd,16 Oct 2014,Bonus issue 4:1,17 Oct 2014,-,-,10 Oct 2014,16 Oct 2014,-,4:1
226,531502,ESARIND,Esaar India Ltd,21 Oct 2014,Bonus issue 3:2,22 Oct 2014,-,-,14 Oct 2014,20 Oct 2014,-,3:2
227,532854,NITINFIRE,Nitin Fire Protection Industries Ltd,13 Nov 2014,Bonus issue 1:3,15 Nov 2014,-,-,12 Nov 2014,13 Nov 2014,-,1:3
228,530961,VIKASECO,Vikas EcoTech Ltd,13 Nov 2014,Bonus issue 3:2,15 Nov 2014,-,-,13 Nov 2014,13 Nov 2014,-,3:2
229,531463,GBLINFRA,Global Infratech & Finance Ltd,14 Nov 2014,Bonus issue 1:10,17 Nov 2014,-,-,10 Nov 2014,14 Nov 2014,-,1:10
230,500209,INFY,Infosys Ltd,02 Dec 2014,Bonus issue 1:1,03 Dec 2014,-,-,26 Nov 2014,02 Dec 2014,-,1:1
231,511092,JMDVL,JMD Ventures Ltd,01 Jan 2015,Bonus issue 1:1,02 Jan 2015,-,-,26 Dec 2014,01 Jan 2015,-,1:1
232,504240,DLTNCBL,Delton Cables Ltd,23 Jan 2015,Bonus issue 2:1,27 Jan 2015,-,-,19 Jan 2015,23 Jan 2015,-,2:1
233,531712,TRILOGIC,Trilogic Digital Media Ltd,11 Feb 2015,Bonus issue 1:1,12 Feb 2015,-,-,05 Feb 2015,11 Feb 2015,-,1:1
234,533333,FCL,Fineotex Chemical Ltd,12 Feb 2015,Bonus issue 1:1,13 Feb 2015,-,-,06 Feb 2015,12 Feb 2015,-,1:1
235,505590,SVPGLOB,SVP Global Textiles Ltd,04 Mar 2015,Bonus issue 9:1,05 Mar 2015,-,-,26 Feb 2015,04 Mar 2015,-,9:1
236,533179,PERSISTENT,Persistent Systems Ltd,10 Mar 2015,Bonus issue 1:1,11 Mar 2015,-,-,03 Mar 2015,10 Mar 2015,-,1:1
237,532281,HCLTECH,HCL Technologies Ltd,19 Mar 2015,Bonus issue 1:1,20 Mar 2015,-,-,13 Mar 2015,19 Mar 2015,-,1:1
238,532755,TECHM,Tech Mahindra Ltd,19 Mar 2015,Bonus issue 1:1,20 Mar 2015,-,-,13 Mar 2015,19 Mar 2015,-,1:1
239,524348,AARTIDRUGS,Aarti Drugs Ltd,24 Mar 2015,Bonus issue 1:1,25 Mar 2015,-,-,18 Mar 2015,24 Mar 2015,-,1:1
240,533269,WABAG,VA Tech Wabag Ltd,26 Mar 2015,Bonus issue 1:1,27 Mar 2015,-,-,20 Mar 2015,26 Mar 2015,-,1:1
241,530305,PICCADIL,Piccadily Agro Industries Ltd,06 Apr 2015,Bonus issue 1:1,07 Apr 2015,-,-,27 Mar 2015,06 Apr 2015,-,1:1
242,532851,INSECTICID,Insecticides (India) Ltd,16 Apr 2015,Bonus issue 1:2,17 Apr 2015,-,-,09 Apr 2015,16 Apr 2015,-,1:2
243,501270,ANTARIKSH,Antariksh Industries Ltd,05 May 2015,Bonus issue 3:1,06 May 2015,-,-,27 Apr 2015,05 May 2015,-,3:1
244,532456,COMPINFO,Compuage Infocom Ltd,26 May 2015,Bonus issue 3:5,27 May 2015,-,-,25 May 2015,26 May 2015,-,3:5
245,506146,VIVIDHA,Visagar Polytex Ltd,28 May 2015,Bonus issue 10:1,30 May 2015,-,-,25 May 2015,28 May 2015,-,10:1
246,500209,INFY,Infosys Ltd,15 Jun 2015,Bonus issue 1:1,-,17 Jun 2015,17 Jun 2015,10 Jun 2015,16 Jun 2015,-,1:1
247,509048,LANCORHOL,Lancor Holdings Ltd,24 Jun 2015,Bonus issue 1:1,25 Jun 2015,-,-,18 Jun 2015,24 Jun 2015,-,1:1
248,530517,RELAXO,Relaxo Footwears Ltd-$,01 Jul 2015,Bonus issue 1:1,02 Jul 2015,-,-,25 Jun 2015,01 Jul 2015,-,1:1
249,500469,FEDERALBNK,Federal Bank Ltd,08 Jul 2015,Bonus issue 1:1,09 Jul 2015,-,-,02 Jul 2015,08 Jul 2015,-,1:1
250,500247,KOTAKBANK,Kotak Mahindra Bank Ltd,08 Jul 2015,Bonus issue 1:1,09 Jul 2015,-,-,02 Jul 2015,08 Jul 2015,-,1:1
251,538970,WARDINMOBI,Wardwizard Innovations & Mobility Ltd,08 Jul 2015,Bonus issue 1:1,09 Jul 2015,-,-,02 Jul 2015,08 Jul 2015,-,1:1
252,590078,MAITHANALL,Maithan Alloys Ltd,15 Jul 2015,Bonus issue 1:1,16 Jul 2015,-,-,09 Jul 2015,15 Jul 2015,-,1:1
253,524804,AUROPHARMA,Aurobindo Pharma Ltd,20 Jul 2015,Bonus issue 1:1,21 Jul 2015,-,-,14 Jul 2015,20 Jul 2015,-,1:1
254,517334,MOTHERSON,Samvardhana Motherson International Ltd,23 Jul 2015,Bonus issue 1:2,-,25 Jul 2015,25 Jul 2015,20 Jul 2015,23 Jul 2015,-,1:2
255,533152,MBLINFRA,MBL Infrastructure Ltd,28 Jul 2015,Bonus issue 1:1,29 Jul 2015,-,-,22 Jul 2015,28 Jul 2015,-,1:1
256,506260,ANUHPHR,Anuh Pharma Ltd,05 Aug 2015,Bonus issue 2:1,06 Aug 2015,-,-,30 Jul 2015,05 Aug 2015,-,2:1
257,534060,PMCFIN,PMC Fincorp Ltd,31 Aug 2015,Bonus issue 1:1,01 Sep 2015,-,-,25 Aug 2015,31 Aug 2015,-,1:1
258,521220,DAMODARIND,Damodar Industries Ltd-$,02 Sep 2015,Bonus issue 1:4,03 Sep 2015,-,-,27 Aug 2015,02 Sep 2015,-,1:4
259,504000,ELPROINTL,Elpro International Ltd,08 Sep 2015,Bonus issue 2:1,-,10 Sep 2015,10 Sep 2015,07 Sep 2015,09 Sep 2015,-,2:1
260,500049,BEL,Bharat Electronics Ltd,14 Sep 2015,Bonus issue 2:1,15 Sep 2015,-,-,08 Sep 2015,14 Sep 2015,-,2:1
261,523694,APCOTEXIND,Apcotex Industries Ltd,23 Sep 2015,Bonus issue 1:1,24 Sep 2015,-,-,18 Sep 2015,23 Sep 2015,-,1:1
262,500830,COLPAL,Colgate Palmolive (India) Ltd,23 Sep 2015,Bonus issue 1:1,24 Sep 2015,-,-,16 Sep 2015,23 Sep 2015,-,1:1
263,532488,DIVISLAB,Divis Laboratories Ltd,23 Sep 2015,Bonus issue 1:1,26 Sep 2015,-,-,18 Sep 2015,23 Sep 2015,-,1:1
264,501831,COASTCORP,Coastal Corporation Ltd,29 Sep 2015,Bonus issue 1:1,-,01 Oct 2015,01 Oct 2015,29 Sep 2015,06 Oct 2015,-,1:1
265,526519,ALPINEHOU,Alpine Housing Development Corporation Ltd,06 Oct 2015,Bonus issue 1:1,-,08 Oct 2015,08 Oct 2015,30 Sep 2015,07 Oct 2015,-,1:1
266,506248,AMNPLST,Amines & Plasticizers Ltd,08 Oct 2015,Bonus issue 1:1,09 Oct 2015,-,-,01 Oct 2015,08 Oct 2015,-,1:1
267,536974,CPL,Captain Polyplast Ltd,08 Oct 2015,Bonus issue 1:8,10 Oct 2015,-,-,05 Oct 2015,08 Oct 2015,-,1:8
268,538771,PINCON,Pincon Spirit Ltd,08 Oct 2015,Bonus issue 1:1,10 Oct 2015,-,-,05 Oct 2015,08 Oct 2015,-,1:1
269,532776,SHIVAMAUTO,Shivam Autotech Ltd,08 Oct 2015,Bonus issue 1:1,10 Oct 2015,-,-,05 Oct 2015,08 Oct 2015,-,1:1
270,504380,FLOMIC,Flomic Global Logistics Ltd,15 Oct 2015,Bonus issue 47:1,16 Oct 2015,-,-,13 Oct 2015,15 Oct 2015,-,47:1
271,536264,TIGERLOGS,Tiger Logistics (India) Ltd,15 Oct 2015,Bonus issue 3:2,16 Oct 2015,-,-,09 Oct 2015,15 Oct 2015,-,3:2
272,538715,DHABRIYA,Dhabriya Polywood Ltd,21 Oct 2015,Bonus issue 1:4,23 Oct 2015,-,-,15 Oct 2015,21 Oct 2015,-,1:4
273,503169,RUBYMILLS,Ruby Mills Ltd,21 Oct 2015,Bonus issue 1:1,24 Oct 2015,-,-,16 Oct 2015,21 Oct 2015,-,1:1
274,524444,EVEXIA,Evexia Lifecare Ltd,23 Oct 2015,Bonus issue 1:3,26 Oct 2015,-,-,16 Oct 2015,23 Oct 2015,-,1:3
275,534422,LOOKS,Looks Health Services Ltd,29 Oct 2015,Bonus issue 3:4,30 Oct 2015,-,-,23 Oct 2015,29 Oct 2015,-,3:4
276,532927,ECLERX,eClerx Services Ltd,17 Dec 2015,Bonus issue 1:3,18 Dec 2015,-,-,11 Dec 2015,17 Dec 2015,-,1:3
277,505850,MANCREDIT,Mangal Credit and Fincorp Ltd,17 Dec 2015,Bonus issue 5:1,19 Dec 2015,-,-,14 Dec 2015,17 Dec 2015,-,5:1
278,503101,MARATHON,Marathon Nextgen Realty Ltd,21 Dec 2015,Bonus issue 1:2,22 Dec 2015,-,-,15 Dec 2015,21 Dec 2015,-,1:2
279,523261,VENKEYS,Venkys (India) Ltd,21 Dec 2015,Bonus issue 1:2,22 Dec 2015,-,-,15 Dec 2015,21 Dec 2015,-,1:2
280,531642,MARICO,Marico Ltd,22 Dec 2015,Bonus issue 1:1,24 Dec 2015,-,-,17 Dec 2015,22 Dec 2015,-,1:1
281,532749,ALLCARGO,Allcargo Logistics Ltd,30 Dec 2015,Bonus issue 1:1,31 Dec 2015,-,-,28 Dec 2015,30 Dec 2015,-,1:1
282,530299,KOTHARIPRO,Kothari Products Ltd,05 Jan 2016,Bonus issue 1:2,06 Jan 2016,-,-,30 Dec 2015,05 Jan 2016,-,1:2
283,522295,CONTROLPR,Control Print Ltd-$,11 Jan 2016,Bonus issue 1:2,12 Jan 2016,-,-,05 Jan 2016,11 Jan 2016,-,1:2
284,539132,WARDWIZFBL,Wardwizard Foods and Beverages Ltd,18 Feb 2016,Bonus issue 9:5,22 Feb 2016,-,-,15 Feb 2016,19 Feb 2016,-,9:5
285,512165,ABANSENT,Abans Enterprises Ltd,03 Mar 2016,Bonus issue 7:1,04 Mar 2016,-,-,26 Feb 2016,03 Mar 2016,-,7:1
286,507526,ASALCBR,Associated Alcohols & Breweries Ltd,10 Mar 2016,Bonus issue 1:1,11 Mar 2016,-,-,03 Mar 2016,10 Mar 2016,-,1:1
287,531328,KRETTOSYS,Kretto Syscon Ltd,10 Mar 2016,Bonus issue 2:5,12 Mar 2016,-,-,04 Mar 2016,10 Mar 2016,-,2:5
288,539309,RAMASTEEL,Rama Steel Tubes Ltd,14 Mar 2016,Bonus issue 4:1,15 Mar 2016,-,-,08 Mar 2016,14 Mar 2016,-,4:1
289,590005,VEEDOL,Veedol Corporation Ltd,16 Mar 2016,Bonus issue 1:1,17 Mar 2016,-,-,10 Mar 2016,16 Mar 2016,-,1:1
290,530187,ATHARVENT,Atharv Enterprises Ltd,17 Mar 2016,Bonus issue 1:1,19 Mar 2016,-,-,14 Mar 2016,17 Mar 2016,-,1:1
291,506146,VIVIDHA,Visagar Polytex Ltd,30 Mar 2016,Bonus issue 1:3,02 Apr 2016,-,-,28 Mar 2016,30 Mar 2016,-,1:3
292,539098,FILTRA,Filtra Consultants and Engineers Ltd,06 Apr 2016,Bonus issue 3:2,08 Apr 2016,-,-,31 Mar 2016,06 Apr 2016,-,3:2
293,539223,AMBITION,Ambition Mica Ltd,11 May 2016,Bonus issue 1:1,12 May 2016,-,-,05 May 2016,11 May 2016,-,1:1
294,507488,GMBREW,GM Breweries Ltd,30 May 2016,Bonus issue 1:4,31 May 2016,-,-,24 May 2016,30 May 2016,-,1:4
295,537259,SUYOG,Suyog Telematics Ltd,13 Jun 2016,Bonus issue 1:5,14 Jun 2016,-,-,07 Jun 2016,13 Jun 2016,-,1:5
296,538771,PINCON,Pincon Spirit Ltd,23 Jun 2016,Bonus issue 1:1,25 Jun 2016,-,-,20 Jun 2016,23 Jun 2016,-,1:1
297,500875,ITC,ITC Ltd,01 Jul 2016,Bonus issue 1:2,04 Jul 2016,-,-,27 Jun 2016,01 Jul 2016,-,1:2
298,500547,BPCL,Bharat Petroleum Corporation Ltd,13 Jul 2016,Bonus issue 1:1,14 Jul 2016,-,-,07 Jul 2016,13 Jul 2016,-,1:1
299,531531,HATSUN,Hatsun Agro Product Ltd,13 Jul 2016,Bonus issue 2:5,14 Jul 2016,-,-,07 Jul 2016,13 Jul 2016,-,2:5
300,526367,GANESHHOUC,Ganesh Housing Corporation Ltd-$,14 Jul 2016,Bonus issue 1:2,15 Jul 2016,-,-,12 Jul 2016,14 Jul 2016,-,1:2
301,506076,GRINDWELL,Grindwell Norton Ltd-$,14 Jul 2016,Bonus issue 1:1,15 Jul 2016,-,-,08 Jul 2016,14 Jul 2016,-,1:1
302,509480,BERGEPAINT,Berger Paints India Ltd,15 Jul 2016,Bonus issue 2:5,18 Jul 2016,-,-,11 Jul 2016,15 Jul 2016,-,2:5
303,501298,INDPRUD,Industrial & Prudential Investment Company Ltd,19 Jul 2016,Bonus issue 2:1,20 Jul 2016,-,-,15 Jul 2016,19 Jul 2016,-,2:1
304,539225,JIYAECO,Jiya Eco-Products Ltd,27 Jul 2016,Bonus issue 1:5,28 Jul 2016,-,-,25 Jul 2016,27 Jul 2016,-,1:5
305,508980,FRONTCAP,Frontier Capital Ltd,28 Jul 2016,Bonus issue 1:3,29 Jul 2016,-,-,22 Jul 2016,28 Jul 2016,-,1:3
306,539196,AEL,Amba Enterprises Ltd,08 Aug 2016,Bonus issue 1:5,09 Aug 2016,-,-,02 Aug 2016,08 Aug 2016,-,1:5
307,590018,HISARMETAL,Hisar Metal Industries Ltd-$,09 Aug 2016,Bonus issue 1:2,10 Aug 2016,-,-,03 Aug 2016,09 Aug 2016,-,1:2
308,533289,KTIL,Kesar Terminals & Infrastructure Ltd,11 Aug 2016,Bonus issue 1:25,13 Aug 2016,-,-,08 Aug 2016,11 Aug 2016,-,1:25
309,532810,PFC,Power Finance Corporation Ltd,26 Aug 2016,Bonus issue 1:1,29 Aug 2016,-,-,22 Aug 2016,26 Aug 2016,-,1:1
310,523828,MENONBE,Menon Bearings Ltd-$,30 Aug 2016,Bonus issue 1:5,31 Aug 2016,-,-,24 Aug 2016,30 Aug 2016,-,1:5
311,538547,OASIS,Oasis Tradelink Ltd,30 Aug 2016,Bonus issue 1:3,31 Aug 2016,-,-,24 Aug 2016,30 Aug 2016,-,1:3
312,513023,NAVA,Nava Ltd,01 Sep 2016,Bonus issue 1:1,03 Sep 2016,-,-,29 Aug 2016,01 Sep 2016,-,1:1
313,500034,BAJFINANCE,Bajaj Finance Ltd,08 Sep 2016,Bonus issue 1:1,10 Sep 2016,-,-,02 Sep 2016,08 Sep 2016,-,1:1
314,538706,ULTRACAB,Ultracab (India) Ltd,08 Sep 2016,Bonus issue 1:2,09 Sep 2016,-,-,01 Sep 2016,08 Sep 2016,-,1:2
315,526586,WIMPLAST,Wim Plast Ltd-$,08 Sep 2016,Bonus issue 1:1,09 Sep 2016,-,-,01 Sep 2016,08 Sep 2016,-,1:1
316,538713,ATISHAY,Atishay Ltd,14 Sep 2016,Bonus issue 1:4,15 Sep 2016,-,-,12 Sep 2016,14 Sep 2016,-,1:4
317,500104,HINDPETRO,Hindustan Petroleum Corporation Ltd,14 Sep 2016,Bonus issue 2:1,15 Sep 2016,-,-,07 Sep 2016,14 Sep 2016,-,2:1
318,517385,SYMPHONY,Symphony Ltd,14 Sep 2016,Bonus issue 1:1,15 Sep 2016,-,-,07 Sep 2016,14 Sep 2016,-,1:1
319,507779,KANPRPLA,Kanpur Plastipack Ltd,23 Sep 2016,Bonus issue 1:2,26 Sep 2016,-,-,20 Sep 2016,23 Sep 2016,-,1:2
320,537069,ARNOLD,Arnold Holdings Ltd,27 Sep 2016,Bonus issue 5:1,28 Sep 2016,-,-,21 Sep 2016,27 Sep 2016,-,5:1
321,537524,VIAANINDUS,Viaan Industries Ltd,27 Sep 2016,Bonus issue 2:1,-,29 Sep 2016,29 Sep 2016,22 Sep 2016,28 Sep 2016,-,2:1
322,532955,RECLTD,REC Ltd,28 Sep 2016,Bonus issue 1:1,29 Sep 2016,-,-,22 Sep 2016,28 Sep 2016,-,1:1
323,502015,ASIIL,ASI Industries Ltd,29 Sep 2016,Bonus issue 1:4,30 Sep 2016,-,-,26 Sep 2016,29 Sep 2016,-,1:4
324,538733,STARLIT,Starlit Power Systems Ltd,06 Oct 2016,Bonus issue 1:4,07 Oct 2016,-,-,30 Sep 2016,06 Oct 2016,-,1:4
325,530305,PICCADIL,Piccadily Agro Industries Ltd,10 Oct 2016,Bonus issue 1:1,13 Oct 2016,-,-,05 Oct 2016,10 Oct 2016,-,1:1
326,512161,SECURKLOUD,Securekloud Technologies Ltd,10 Oct 2016,Bonus issue 1:3,13 Oct 2016,-,-,04 Oct 2016,10 Oct 2016,-,1:3
327,530307,CLSEL,Chaman Lal Setia Exports Ltd-$,14 Oct 2016,Bonus issue 1:10,17 Oct 2016,-,-,06 Oct 2016,14 Oct 2016,-,1:10
328,530965,IOC,Indian Oil Corporation Ltd,18 Oct 2016,Bonus issue 1:1,19 Oct 2016,-,-,10 Oct 2016,18 Oct 2016,-,1:1
