,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date,Ratio
38,500875,ITC,ITC Ltd,03 Aug 2010,Bonus issue 1:1,04 Aug 2010,-,-,28 Jul 2010,03 Aug 2010,-,1:1
39,505075,SETCO,Setco Automotive Ltd,05 Aug 2010,Bonus issue 1:1,-,09 Aug 2010,10 Aug 2010,02 Aug 2010,06 Aug 2010,-,1:1
40,532922,EDELWEISS,Edelweiss Financial Services Ltd,10 Aug 2010,Bonus issue 1:1,11 Aug 2010,-,-,04 Aug 2010,10 Aug 2010,-,1:1
41,500185,HCC,Hindustan Construction Company Ltd,10 Aug 2010,Bonus issue 1:1,11 Aug 2010,-,-,04 Aug 2010,10 Aug 2010,-,1:1
42,531845,ZENITHSTL,Zenith Steel Pipes & Industries Ltd-$,11 Aug 2010,Bonus issue 1:5,12 Aug 2010,-,-,05 Aug 2010,11 Aug 2010,-,1:5
43,500003,AEGISLOG,Aegis Logistics Ltd,18 Aug 2010,Bonus issue 2:3,20 Aug 2010,-,-,13 Aug 2010,19 Aug 2010,-,2:3
44,521163,ZODIACLOTH,Zodiac Clothing Company Ltd,23 Aug 2010,Bonus issue 1:2,24 Aug 2010,-,-,17 Aug 2010,23 Aug 2010,-,1:2
45,532443,CERA,Cera Sanitaryware Ltd,02 Sep 2010,Bonus issue 1:1,03 Sep 2010,-,-,27 Aug 2010,02 Sep 2010,-,1:1
46,512443,GANONPRO,Ganon Products Ltd,02 Sep 2010,Bonus issue 2:1,-,14 Sep 2010,14 Sep 2010,02 Sep 2010,17 Sep 2010,-,2:1
47,530367,NRBBEARING,NRB Bearings Ltd,03 Sep 2010,Bonus issue 1:1,06 Sep 2010,-,-,30 Aug 2010,03 Sep 2010,-,1:1
48,524109,KABRAEXTRU,Kabra Extrusiontechnik Ltd,06 Sep 2010,Bonus issue 1:1,07 Sep 2010,-,-,31 Aug 2010,06 Sep 2010,-,1:1
49,516108,STHINPA,South India Paper Mills Ltd,06 Sep 2010,Bonus issue 1:1,-,08 Sep 2010,10 Sep 2010,01 Sep 2010,07 Sep 2010,-,1:1
50,532977,BAJAJ-AUTO,Bajaj Auto Ltd,08 Sep 2010,Bonus issue 1:1,10 Sep 2010,-,-,03 Sep 2010,08 Sep 2010,-,1:1
51,500096,DABUR,Dabur India Ltd,08 Sep 2010,Bonus issue 1:1,10 Sep 2010,-,-,03 Sep 2010,08 Sep 2010,-,1:1
52,532343,TVSMOTOR,TVS Motor Company Ltd,08 Sep 2010,Bonus issue 1:1,09 Sep 2010,-,-,02 Sep 2010,08 Sep 2010,-,1:1
53,524689,PARENTLD,Parenteral Drugs India Ltd-$,13 Sep 2010,Bonus issue 1:3,-,15 Sep 2010,15 Sep 2010,07 Sep 2010,14 Sep 2010,-,1:3
54,532716,GILLANDERS,Gillanders Arbuthnot & Company Ltd,14 Sep 2010,Bonus issue 1:2,15 Sep 2010,-,-,07 Sep 2010,14 Sep 2010,-,1:2
55,533017,RMMIL,Resurgere Mines & Minerals India Ltd,15 Sep 2010,Bonus issue 2:1,-,17 Sep 2010,19 Sep 2010,09 Sep 2010,16 Sep 2010,-,2:1
56,590003,KARURVYSYA,Karur Vysya Bank Ltd,16 Sep 2010,Bonus issue 2:5,18 Sep 2010,-,-,13 Sep 2010,16 Sep 2010,-,2:5
57,511605,ARIHANTCAP,Arihant Capital Markets Ltd,23 Sep 2010,Bonus issue 3:5,24 Sep 2010,-,-,17 Sep 2010,23 Sep 2010,-,3:5
58,505285,TULIVE,Tulive Developers Ltd,24 Sep 2010,Bonus issue 4:1,08 Oct 2010,-,-,24 Sep 2010,13 Oct 2010,-,4:1
59,532777,NAUKRI,Info Edge (India) Ltd,27 Sep 2010,Bonus issue 1:1,28 Sep 2010,-,-,21 Sep 2010,27 Sep 2010,-,1:1
60,507205,TI,Tilaknagar Industries Ltd-$,28 Sep 2010,Bonus issue 2:1,30 Sep 2010,-,-,23 Sep 2010,28 Sep 2010,-,2:1
61,531814,TIRSARJ,Tirupati Sarjan Ltd,28 Sep 2010,Bonus issue 1:1,29 Sep 2010,-,-,22 Sep 2010,27 Sep 2010,-,1:1
62,532380,BABA,Baba Arts Ltd-$,29 Sep 2010,Bonus issue 1:1,01 Oct 2010,-,-,27 Sep 2010,30 Sep 2010,-,1:1
63,533006,BIRLACOT,Birla Cotsyn (India) Ltd,29 Sep 2010,Bonus issue 1:5,01 Oct 2010,-,-,24 Sep 2010,30 Sep 2010,-,1:5
64,532719,BLKASHYAP,B. L. Kashyap and Sons Ltd,29 Sep 2010,Bonus issue 1:1,01 Oct 2010,-,-,24 Sep 2010,30 Sep 2010,-,1:1
65,501111,ZGOLDINV,Gold Rock Investments Ltd,05 Oct 2010,Bonus issue 2:1,13 Oct 2010,-,-,05 Oct 2010,18 Oct 2010,-,2:1
66,517354,HAVELLS,Havells India Ltd,08 Oct 2010,Bonus issue 1:1,11 Oct 2010,-,-,04 Oct 2010,08 Oct 2010,-,1:1
67,522165,INDSILHYD,Indsil Hydro Power and Manganese Ltd-$,15 Oct 2010,Bonus issue 2:3,18 Oct 2010,-,-,11 Oct 2010,15 Oct 2010,-,2:3
68,532339,COMPUSOFT,Compucom Software Ltd-$,19 Oct 2010,Bonus issue 1:2,20 Oct 2010,-,-,13 Oct 2010,19 Oct 2010,-,1:2
69,500227,JINDALPOLY,Jindal Poly Films Ltd,22 Oct 2010,Bonus issue 1:1,25 Oct 2010,-,-,18 Oct 2010,22 Oct 2010,-,1:1
70,512634,SAVERA,Savera Industries Ltd,25 Oct 2010,Bonus issue 1:1,26 Oct 2010,-,-,19 Oct 2010,25 Oct 2010,-,1:1
71,506260,ANUHPHR,Anuh Pharma Ltd,28 Oct 2010,Bonus issue 2:1,29 Oct 2010,-,-,22 Oct 2010,28 Oct 2010,-,2:1
72,505537,ZEEL,Zee Entertainment Enterprises Ltd,11 Nov 2010,Bonus issue 1:1,12 Nov 2010,-,-,04 Nov 2010,11 Nov 2010,-,1:1
73,512131,SIGIND,Signet Industries Ltd,18 Nov 2010,Bonus issue 5:1,19 Nov 2010,-,-,11 Nov 2010,18 Nov 2010,-,5:1
74,522073,HITECHGEAR,The Hi-Tech Gears Ltd,01 Dec 2010,Bonus issue 1:1,02 Dec 2010,-,-,25 Nov 2010,01 Dec 2010,-,1:1
75,532323,SHIVACEM,Shiva Cement Ltd,09 Dec 2010,Bonus issue 1:10,11 Dec 2010,-,-,06 Dec 2010,09 Dec 2010,-,1:10
76,506166,APIS,Apis India Ltd,10 Dec 2010,Bonus issue 323:100,17 Dec 2010,-,-,10 Dec 2010,22 Dec 2010,-,323:100
77,522074,ELGIEQUIP,Elgi Equipments Ltd,14 Dec 2010,Bonus issue 1:1,-,16 Dec 2010,17 Dec 2010,09 Dec 2010,15 Dec 2010,-,1:1
78,524051,POLYPLEX,Polyplex Corporation Ltd,23 Dec 2010,Bonus issue 1:1,25 Dec 2010,-,-,20 Dec 2010,23 Dec 2010,-,1:1
79,531977,CHLOGIST,Chartered Logistics Ltd,24 Dec 2010,Bonus issue 1:1,27 Dec 2010,-,-,20 Dec 2010,24 Dec 2010,-,1:1
