,Unnamed: 0,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date,type,dividend
30,30,532733,SUNTV,Sun TV Network Ltd,28 Jan 2010,Interim Dividend - Rs. - 1.5000,29 Jan 2010,-,-,21 Jan 2010,28 Jan 2010,-,Interim Dividend, 1.5000
31,31,532281,HCLTECH,HCL Technologies Ltd,29 Jan 2010,Interim Dividend - Rs. - 1.0000,01 Feb 2010,-,-,22 Jan 2010,29 Jan 2010,-,Interim Dividend, 1.0000
32,32,531120,PATELENG,Patel Engineering Ltd-$,29 Jan 2010,Interim Dividend - Rs. - 2.0000,01 Feb 2010,-,-,22 Jan 2010,29 Jan 2010,-,Interim Dividend, 2.0000
33,33,520056,TVSHLTD,TVS Holdings Ltd,29 Jan 2010,Interim Dividend - Rs. - 0.5000,01 Feb 2010,-,-,22 Jan 2010,29 Jan 2010,-,Interim Dividend, 0.5000
34,34,531344,CONCOR,Container Corporation of India Ltd,01 Feb 2010,Interim Dividend - Rs. - 6.0000,02 Feb 2010,-,-,27 Jan 2010,01 Feb 2010,-,Interim Dividend, 6.0000
35,35,532424,GODREJCP,Godrej Consumer Products Ltd,01 Feb 2010,Interim Dividend - Rs. - 1.0000,02 Feb 2010,-,-,25 Jan 2010,01 Feb 2010,-,Interim Dividend, 1.0000
36,36,500113,SAIL,Steel Authority of India Ltd,01 Feb 2010,Interim Dividend - Rs. - 1.6000,02 Feb 2010,-,-,25 Jan 2010,01 Feb 2010,-,Interim Dividend, 1.6000
37,37,501301,TATAINVEST,Tata Investment Corporation Ltd,01 Feb 2010,Interim Dividend - Rs. - 15.0000,02 Feb 2010,-,-,25 Jan 2010,01 Feb 2010,-,Interim Dividend, 15.0000
38,38,506395,COROMANDEL,Coromandel International Ltd,02 Feb 2010,Interim Dividend - Rs. - 6.0000,03 Feb 2010,-,-,27 Jan 2010,02 Feb 2010,-,Interim Dividend, 6.0000
39,39,500119,DHAMPURSUG,Dhampur Sugar Mills Ltd,02 Feb 2010,Dividend - Rs. - 1.5000,-,04 Feb 2010,10 Feb 2010,28 Jan 2010,03 Feb 2010,-,Dividend, 1.5000
40,40,500179,HCL-INSYS,HCL Infosystems Ltd,02 Feb 2010,Interim Dividend - Rs. - 2.0000,03 Feb 2010,-,-,27 Jan 2010,02 Feb 2010,-,Interim Dividend, 2.0000
41,41,532761,HOVS,HOV Services Ltd,02 Feb 2010,Interim Dividend - Rs. - 2.0000,03 Feb 2010,-,-,27 Jan 2010,02 Feb 2010,-,Interim Dividend, 2.0000
42,42,505800,RANEHOLDIN,Rane Holdings Ltd,02 Feb 2010,Interim Dividend - Rs. - 6.0000,03 Feb 2010,-,-,27 Jan 2010,02 Feb 2010,-,Interim Dividend, 6.0000
43,43,524208,AARTIIND,Aarti Industries Ltd,03 Feb 2010,Interim Dividend - Rs. - 1.8000,04 Feb 2010,-,-,28 Jan 2010,03 Feb 2010,-,Interim Dividend, 1.8000
44,44,532921,ADANIPORTS,Adani Ports and Special Economic Zone Ltd,03 Feb 2010,Interim Dividend - Rs. - 2.5000,04 Feb 2010,-,-,28 Jan 2010,03 Feb 2010,-,Interim Dividend, 2.5000
45,45,500049,BEL,Bharat Electronics Ltd,03 Feb 2010,Interim Dividend - Rs. - 6.0000,04 Feb 2010,-,-,28 Jan 2010,03 Feb 2010,-,Interim Dividend, 6.0000
