,Unnamed: 0,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date,type,dividend
5039,5039,533227,AHLEAST,Asian Hotels (East) Ltd,30 Jul 2013,Dividend - Rs. - 4.5000,-,01 Aug 2013,08 Aug 2013,25 Jul 2013,31 Jul 2013,-,Dividend, 4.5000
5040,5040,500710,AKZOINDIA,Akzo Nobel India Ltd,30 Jul 2013,Dividend - Rs. - 20.0000,-,01 Aug 2013,08 Aug 2013,25 Jul 2013,31 Jul 2013,07 Sep 2013,Dividend, 20.0000
5041,5041,500710,AKZOINDIA,Akzo Nobel India Ltd,30 Jul 2013,Dividend - Rs. - 20.0000,-,01 Aug 2013,08 Aug 2013,25 Jul 2013,31 Jul 2013,-,Dividend, 20.0000
5042,5042,500710,AKZOINDIA,Akzo Nobel India Ltd,30 Jul 2013,Special Dividend - Rs. - 60.0000,-,01 Aug 2013,08 Aug 2013,25 Jul 2013,31 Jul 2013,07 Sep 2013,Special Dividend, 60.0000
5043,5043,500710,AKZOINDIA,Akzo Nobel India Ltd,30 Jul 2013,Special Dividend - Rs. - 60.0000,-,01 Aug 2013,08 Aug 2013,25 Jul 2013,31 Jul 2013,-,Special Dividend, 60.0000
5044,5044,500425,AMBUJACEM,Ambuja Cements Ltd,30 Jul 2013,Interim Dividend - Rs. - 1.4000,31 Jul 2013,-,-,24 Jul 2013,30 Jul 2013,-,Interim Dividend, 1.4000
5045,5045,524804,AUROPHARMA,Aurobindo Pharma Ltd,30 Jul 2013,Final Dividend - Rs. - 0.5000,-,01 Aug 2013,07 Aug 2013,25 Jul 2013,31 Jul 2013,-,Final Dividend, 0.5000
5046,5046,533336,DHUNINV,Dhunseri Investments Ltd,30 Jul 2013,Dividend - Rs. - 1.2500,-,01 Aug 2013,13 Aug 2013,25 Jul 2013,31 Jul 2013,-,Dividend, 1.2500
5047,5047,532868,DLF,DLF Ltd,30 Jul 2013,Dividend - Rs. - 2.0000,-,01 Aug 2013,12 Aug 2013,25 Jul 2013,31 Jul 2013,-,Dividend, 2.0000
5048,5048,532700,ENIL,Entertainment Network (India) Ltd,30 Jul 2013,Dividend - Rs. - 1.0000,-,01 Aug 2013,08 Aug 2013,25 Jul 2013,31 Jul 2013,-,Dividend, 1.0000
5049,5049,532716,GILLANDERS,Gillanders Arbuthnot & Company Ltd,30 Jul 2013,Dividend - Rs. - 2.0000,-,01 Aug 2013,07 Aug 2013,25 Jul 2013,31 Jul 2013,-,Dividend, 2.0000
5050,5050,533177,IL&FSTRANS,IL&FS Transportation Networks Ltd,30 Jul 2013,Dividend - Rs. - 4.0000,-,01 Aug 2013,08 Aug 2013,25 Jul 2013,31 Jul 2013,06 Sep 2013,Dividend, 4.0000
5051,5051,590065,IMPAL,India Motor Parts & Accessories Ltd,30 Jul 2013,Final Dividend - Rs. - 2.5000,-,01 Aug 2013,08 Aug 2013,25 Jul 2013,31 Jul 2013,-,Final Dividend, 2.5000
5052,5052,504786,INVPRECQ,Investment & Precision Castings Ltd,30 Jul 2013,Dividend - Rs. - 0.5000,-,01 Aug 2013,07 Aug 2013,25 Jul 2013,31 Jul 2013,-,Dividend, 0.5000
5053,5053,520057,JTEKTINDIA,Jtekt India Ltd,30 Jul 2013,Dividend - Rs. - 0.6500,-,01 Aug 2013,10 Aug 2013,25 Jul 2013,31 Jul 2013,20 Aug 2013,Dividend, 0.6500
5054,5054,590066,KCP,KCP Ltd,30 Jul 2013,Final Dividend - Rs. - 0.5000,-,01 Aug 2013,08 Aug 2013,25 Jul 2013,31 Jul 2013,-,Final Dividend, 0.5000
5055,5055,507794,KHAICHEM,Khaitan Chemicals & Fertilizers Ltd,30 Jul 2013,Dividend - Rs. - 0.0500,-,01 Aug 2013,06 Aug 2013,25 Jul 2013,31 Jul 2013,-,Dividend, 0.0500
5056,5056,500243,KIRLOSIND,Kirloskar Industries Ltd,30 Jul 2013,Dividend - Rs. - 4.0000,-,01 Aug 2013,08 Aug 2013,25 Jul 2013,31 Jul 2013,22 Aug 2013,Dividend, 4.0000
5057,5057,504258,LAKSELEC,Lakshmi Electrical Control Systems Ltd,30 Jul 2013,Dividend - Rs. - 2.0000,-,01 Aug 2013,09 Aug 2013,25 Jul 2013,31 Jul 2013,-,Dividend, 2.0000
5058,5058,500250,LGBBROSLTD,LG Balakrishnan & Bros Ltd,30 Jul 2013,Final Dividend - Rs. - 2.0000,-,01 Aug 2013,08 Aug 2013,25 Jul 2013,31 Jul 2013,-,Final Dividend, 2.0000
5059,5059,500252,LMW,LMW Ltd,30 Jul 2013,Dividend - Rs. - 20.0000,-,01 Aug 2013,05 Aug 2013,25 Jul 2013,31 Jul 2013,-,Dividend, 20.0000
5060,5060,500298,NAPEROL,Naperol Investments Ltd,30 Jul 2013,Dividend - Rs. - 15.0000,-,01 Aug 2013,14 Aug 2013,25 Jul 2013,31 Jul 2013,-,Dividend, 15.0000
5061,5061,532827,PAGEIND,Page Industries Ltd,30 Jul 2013,Final Dividend - Rs. - 14.0000,-,01 Aug 2013,08 Aug 2013,25 Jul 2013,31 Jul 2013,16 Aug 2013,Final Dividend, 14.0000
5062,5062,532742,PAUSHAKLTD,Paushak Ltd,30 Jul 2013,Dividend - Rs. - 3.0000,-,01 Aug 2013,08 Aug 2013,25 Jul 2013,31 Jul 2013,-,Dividend, 3.0000
5063,5063,503031,PENINLAND,Peninsula Land Ltd,30 Jul 2013,Dividend - Rs. - 1.5000,-,01 Aug 2013,08 Aug 2013,25 Jul 2013,31 Jul 2013,19 Aug 2013,Dividend, 1.5000
5064,5064,513532,PRADPME,Pradeep Metals Ltd,30 Jul 2013,Dividend - Rs. - 1.0000,-,01 Aug 2013,08 Aug 2013,25 Jul 2013,31 Jul 2013,-,Dividend, 1.0000
5065,5065,523539,PRECWIRE,Precision Wires India Ltd,30 Jul 2013,Final Dividend - Rs. - 1.5000,-,01 Aug 2013,07 Aug 2013,25 Jul 2013,31 Jul 2013,06 Sep 2013,Final Dividend, 1.5000
5066,5066,517522,RAJRATAN,Rajratan Global Wire Ltd,30 Jul 2013,Dividend - Rs. - 1.0000,-,01 Aug 2013,05 Aug 2013,25 Jul 2013,31 Jul 2013,-,Dividend, 1.0000
5067,5067,533285,RDBRIL,RDB Realty & Infrastructure Ltd,30 Jul 2013,Final Dividend - Rs. - 1.0000,-,01 Aug 2013,08 Aug 2013,25 Jul 2013,31 Jul 2013,06 Sep 2013,Final Dividend, 1.0000
5068,5068,533608,RDBRL,RDB Rasayans Ltd,30 Jul 2013,Final Dividend - Rs. - 0.5000,-,01 Aug 2013,08 Aug 2013,25 Jul 2013,31 Jul 2013,06 Sep 2013,Final Dividend, 0.5000
5069,5069,503229,SIMPLXREA,Simplex Realty Ltd,30 Jul 2013,Dividend - Rs. - 1.5000,-,01 Aug 2013,07 Aug 2013,25 Jul 2013,31 Jul 2013,-,Dividend, 1.5000
5070,5070,512527,SUPER,Super Sales India Ltd-$,30 Jul 2013,Dividend - Rs. - 2.5000,-,01 Aug 2013,08 Aug 2013,25 Jul 2013,31 Jul 2013,23 Aug 2013,Dividend, 2.5000
5071,5071,500570,TATAMOTORS,Tata Motors Ltd,30 Jul 2013,Dividend - Rs. - 2.0000,-,01 Aug 2013,21 Aug 2013,25 Jul 2013,31 Jul 2013,-,Dividend, 2.0000
5072,5072,532757,VOLTAMP,Voltamp Transformers Ltd,30 Jul 2013,Dividend - Rs. - 10.0000,-,01 Aug 2013,12 Aug 2013,25 Jul 2013,31 Jul 2013,-,Dividend, 10.0000
5073,5073,532757,VOLTAMP,Voltamp Transformers Ltd,30 Jul 2013,Special Dividend - Rs. - 5.0000,-,01 Aug 2013,12 Aug 2013,25 Jul 2013,31 Jul 2013,-,Special Dividend, 5.0000
5074,5074,590073,WHEELS,Wheels India Ltd,30 Jul 2013,Dividend - Rs. - 8.1000,-,01 Aug 2013,13 Aug 2013,25 Jul 2013,31 Jul 2013,12 Sep 2013,Dividend, 8.1000
5075,5075,524075,ALBERTDAVD,Albert David Ltd-$,31 Jul 2013,Dividend - Rs. - 4.5000,-,02 Aug 2013,07 Aug 2013,26 Jul 2013,01 Aug 2013,-,Dividend, 4.5000
5076,5076,502219,BORORENEW,Borosil Renewables Ltd,31 Jul 2013,Dividend - Rs. - 15.0000,-,02 Aug 2013,07 Aug 2013,26 Jul 2013,01 Aug 2013,-,Dividend, 15.0000
5077,5077,500300,GRASIM,Grasim Industries Ltd,31 Jul 2013,Dividend - Rs. - 22.5000,-,02 Aug 2013,17 Aug 2013,26 Jul 2013,01 Aug 2013,-,Dividend, 22.5000
5078,5078,500790,NESTLEIND,Nestle India Ltd,31 Jul 2013,Interim Dividend - Rs. - 18.0000,01 Aug 2013,-,-,25 Jul 2013,31 Jul 2013,-,Interim Dividend, 18.0000
5079,5079,526739,SHAWGELTIN,Narmada Gelatines Ltd,31 Jul 2013,Dividend - Rs. - 5.0000,-,02 Aug 2013,14 Aug 2013,26 Jul 2013,01 Aug 2013,-,Dividend, 5.0000
5080,5080,534425,SPECIALITY,Speciality Restaurants Ltd,31 Jul 2013,Dividend - Rs. - 1.0000,-,02 Aug 2013,13 Aug 2013,26 Jul 2013,01 Aug 2013,-,Dividend, 1.0000
5081,5081,506687,TRANSPEK,Transpek Industry Ltd-$,31 Jul 2013,Dividend - Rs. - 3.0000,-,02 Aug 2013,08 Aug 2013,26 Jul 2013,01 Aug 2013,-,Dividend, 3.0000
5082,5082,503349,VICTMILL,Victoria Mills Ltd,31 Jul 2013,Dividend - Rs. - 50.0000,-,02 Aug 2013,13 Aug 2013,26 Jul 2013,01 Aug 2013,-,Dividend, 50.0000
5083,5083,523411,ADCINDIA,ADC India Communications Ltd-$,01 Aug 2013,Dividend - Rs. - 1.5000,-,03 Aug 2013,13 Aug 2013,29 Jul 2013,01 Aug 2013,-,Dividend, 1.5000
5084,5084,532683,AIAENG,AIA Engineering Ltd,01 Aug 2013,Dividend - Rs. - 4.0000,-,03 Aug 2013,12 Aug 2013,29 Jul 2013,01 Aug 2013,-,Dividend, 4.0000
5085,5085,532259,APARINDS,Apar Industries Ltd,01 Aug 2013,Final Dividend - Rs. - 5.2500,-,03 Aug 2013,08 Aug 2013,29 Jul 2013,01 Aug 2013,-,Final Dividend, 5.2500
5086,5086,500493,BHARATFORG,Bharat Forge Ltd,01 Aug 2013,Final Dividend - Rs. - 2.4000,-,03 Aug 2013,08 Aug 2013,29 Jul 2013,01 Aug 2013,-,Final Dividend, 2.4000
5087,5087,506197,BLISSGVS,Bliss GVS Pharma Ltd,01 Aug 2013,Final Dividend - Rs. - 0.4000,-,05 Aug 2013,09 Aug 2013,29 Jul 2013,02 Aug 2013,-,Final Dividend, 0.4000
5088,5088,523019,BNRSEC,BN Rathi Securities Ltd,01 Aug 2013,Dividend - Rs. - 1.0000,-,05 Aug 2013,08 Aug 2013,29 Jul 2013,02 Aug 2013,-,Dividend, 1.0000
5089,5089,526731,BRIGHTBR,Bright Brothers Ltd-$,01 Aug 2013,Dividend - Rs. - 2.0000,-,05 Aug 2013,12 Aug 2013,29 Jul 2013,02 Aug 2013,-,Dividend, 2.0000
5090,5090,532834,CAMLINFINE,Camlin Fine Sciences Ltd,01 Aug 2013,Dividend - Rs. - 0.6000,-,05 Aug 2013,13 Aug 2013,29 Jul 2013,02 Aug 2013,-,Dividend, 0.6000
5091,5091,531344,CONCOR,Container Corporation of India Ltd,01 Aug 2013,Final Dividend - Rs. - 9.5000,-,03 Aug 2013,05 Aug 2013,29 Jul 2013,01 Aug 2013,-,Final Dividend, 9.5000
5092,5092,522295,CONTROLPR,Control Print Ltd-$,01 Aug 2013,Final Dividend - Rs. - 2.0000,-,03 Aug 2013,12 Aug 2013,29 Jul 2013,01 Aug 2013,-,Final Dividend, 2.0000
5093,5093,526705,ELEMARB,Elegant Marbles & Grani Industries Ltd,01 Aug 2013,Dividend - Rs. - 2.0000,-,03 Aug 2013,07 Aug 2013,29 Jul 2013,01 Aug 2013,-,Dividend, 2.0000
5094,5094,505714,GABRIEL,Gabriel India Ltd-$,01 Aug 2013,Final Dividend - Rs. - 0.4500,-,05 Aug 2013,12 Aug 2013,29 Jul 2013,02 Aug 2013,19 Aug 2013,Final Dividend, 0.4500
5095,5095,500164,GODREJIND,Godrej Industries Ltd,01 Aug 2013,Final Dividend - Rs. - 1.7500,-,03 Aug 2013,10 Aug 2013,29 Jul 2013,01 Aug 2013,06 Sep 2013,Final Dividend, 1.7500
5096,5096,505720,HERCULES,Hercules Hoists Ltd,01 Aug 2013,Dividend - Rs. - 1.7500,-,03 Aug 2013,07 Aug 2013,29 Jul 2013,01 Aug 2013,-,Dividend, 1.7500
5097,5097,524648,INDOAMIN,Indo Amines Ltd-$,01 Aug 2013,Final Dividend - Rs. - 1.0000,-,05 Aug 2013,08 Aug 2013,29 Jul 2013,02 Aug 2013,-,Final Dividend, 1.0000
5098,5098,507580,IVP,IVP Ltd,01 Aug 2013,Dividend - Rs. - 1.5000,-,05 Aug 2013,10 Aug 2013,29 Jul 2013,02 Aug 2013,-,Dividend, 1.5000
5099,5099,506943,JBCHEPHARM,JB Chemicals & Pharmaceuticals Ltd,01 Aug 2013,Dividend - Rs. - 3.0000,-,03 Aug 2013,14 Aug 2013,29 Jul 2013,01 Aug 2013,23 Aug 2013,Dividend, 3.0000
5100,5100,532162,JKPAPER,JK Paper Ltd,01 Aug 2013,Dividend - Rs. - 0.5000,-,05 Aug 2013,17 Aug 2013,29 Jul 2013,02 Aug 2013,16 Sep 2013,Dividend, 0.5000
5101,5101,530007,JKTYRE,JK Tyre & Industries Ltd,01 Aug 2013,Dividend - Rs. - 3.5000,-,05 Aug 2013,14 Aug 2013,29 Jul 2013,02 Aug 2013,-,Dividend, 3.5000
5102,5102,526947,LAOPALA,La Opala RG Ltd,01 Aug 2013,Dividend - Rs. - 3.5000,-,03 Aug 2013,13 Aug 2013,29 Jul 2013,01 Aug 2013,-,Dividend, 3.5000
5103,5103,520059,MUNJALAU,Munjal Auto Industries Ltd,01 Aug 2013,Dividend - Rs. - 2.0000,-,05 Aug 2013,10 Aug 2013,29 Jul 2013,02 Aug 2013,-,Dividend, 2.0000
5104,5104,511766,MUTHOOTCAP,Muthoot Capital Services Ltd,01 Aug 2013,Dividend - Rs. - 4.0000,-,03 Aug 2013,08 Aug 2013,29 Jul 2013,01 Aug 2013,06 Sep 2013,Dividend, 4.0000
5105,5105,530129,NILE,Nile Ltd,01 Aug 2013,Final Dividend - Rs. - 2.0000,-,03 Aug 2013,10 Aug 2013,29 Jul 2013,01 Aug 2013,-,Final Dividend, 2.0000
5106,5106,502420,ORIENTPPR,Orient Paper & Industries Ltd,01 Aug 2013,Dividend - Rs. - 0.1000,-,05 Aug 2013,09 Aug 2013,29 Jul 2013,02 Aug 2013,-,Dividend, 0.1000
5107,5107,505800,RANEHOLDIN,Rane Holdings Ltd,01 Aug 2013,Final Dividend - Rs. - 4.5000,-,03 Aug 2013,12 Aug 2013,29 Jul 2013,01 Aug 2013,19 Aug 2013,Final Dividend, 4.5000
5108,5108,520111,RATNAMANI,Ratnamani Metals & Tubes Ltd-$,01 Aug 2013,Dividend - Rs. - 4.0000,-,03 Aug 2013,12 Aug 2013,29 Jul 2013,01 Aug 2013,-,Dividend, 4.0000
5109,5109,532687,REPRO,Repro India Ltd,01 Aug 2013,Dividend - Rs. - 10.0000,-,03 Aug 2013,10 Aug 2013,29 Jul 2013,01 Aug 2013,-,Dividend, 10.0000
5110,5110,505509,RESPONIND,Responsive Industries Ltd,01 Aug 2013,Dividend - Rs. - 0.1000,-,05 Aug 2013,10 Aug 2013,29 Jul 2013,02 Aug 2013,-,Dividend, 0.1000
5111,5111,526492,RISHIROOP,Rishiroop Ltd,01 Aug 2013,Dividend - Rs. - 1.2000,-,03 Aug 2013,12 Aug 2013,29 Jul 2013,01 Aug 2013,19 Aug 2013,Dividend, 1.2000
5112,5112,532841,SAHYADRI,Sahyadri Industries Ltd,01 Aug 2013,Final Dividend - Rs. - 2.5000,-,03 Aug 2013,10 Aug 2013,29 Jul 2013,01 Aug 2013,-,Final Dividend, 2.5000
5113,5113,517059,SALZERELEC,Salzer Electronics Ltd-$,01 Aug 2013,Dividend - Rs. - 1.2000,-,05 Aug 2013,10 Aug 2013,29 Jul 2013,02 Aug 2013,-,Dividend, 1.2000
5114,5114,535789,SAMMAANCAP,Sammaan Capital Ltd,01 Aug 2013,Interim Dividend - Rs. - 6.0000,02 Aug 2013,-,-,26 Jul 2013,01 Aug 2013,16 Aug 2013,Interim Dividend, 6.0000
5115,5115,514138,SURYALA,Suryalata Spinning Mills Ltd-$,01 Aug 2013,Dividend - Rs. - 1.5000,-,05 Aug 2013,10 Aug 2013,29 Jul 2013,02 Aug 2013,-,Dividend, 1.5000
5116,5116,530239,SUVEN,Suven Life Sciences Ltd,01 Aug 2013,Dividend - Rs. - 0.3000,-,05 Aug 2013,07 Aug 2013,29 Jul 2013,02 Aug 2013,-,Dividend, 0.3000
5117,5117,533200,TALWALKARS,Talwalkars Better Value Fitness Ltd,01 Aug 2013,Dividend - Rs. - 1.5000,-,03 Aug 2013,08 Aug 2013,29 Jul 2013,01 Aug 2013,-,Dividend, 1.5000
5118,5118,533170,TAMBOLIIN,Tamboli Industries Ltd,01 Aug 2013,Dividend - Rs. - 0.5500,-,05 Aug 2013,09 Aug 2013,29 Jul 2013,02 Aug 2013,-,Dividend, 0.5500
5119,5119,523261,VENKEYS,Venkys (India) Ltd,01 Aug 2013,Dividend - Rs. - 5.0000,-,05 Aug 2013,09 Aug 2013,29 Jul 2013,02 Aug 2013,-,Dividend, 5.0000
5120,5120,521163,ZODIACLOTH,Zodiac Clothing Company Ltd,01 Aug 2013,Final Dividend - Rs. - 2.0000,-,05 Aug 2013,14 Aug 2013,29 Jul 2013,02 Aug 2013,-,Final Dividend, 2.0000
5121,5121,504988,ZWELCAST,Welcast Steels Ltd,01 Aug 2013,Dividend - Rs. - 5.0000,-,03 Aug 2013,10 Aug 2013,29 Jul 2013,01 Aug 2013,-,Dividend, 5.0000
5122,5122,532749,ALLCARGO,Allcargo Logistics Ltd,02 Aug 2013,Dividend - Rs. - 1.5000,-,06 Aug 2013,08 Aug 2013,30 Jul 2013,05 Aug 2013,-,Dividend, 1.5000
5123,5123,590006,AMRUTANJAN,Amrutanjan Health Care Ltd-$,02 Aug 2013,Final Dividend - Rs. - 2.0000,-,06 Aug 2013,08 Aug 2013,30 Jul 2013,05 Aug 2013,-,Final Dividend, 2.0000
5124,5124,509438,BENARAS,Benares Hotels Ltd,02 Aug 2013,Dividend - Rs. - 20.0000,-,06 Aug 2013,19 Aug 2013,30 Jul 2013,05 Aug 2013,-,Dividend, 20.0000
5125,5125,531862,BHARATAGRI,Bharat Agri Fert & Realty Ltd,02 Aug 2013,Final Dividend - Rs. - 1.5000,-,06 Aug 2013,16 Aug 2013,30 Jul 2013,05 Aug 2013,-,Final Dividend, 1.5000
5126,5126,509472,CRAVATEX,Cravatex Ltd,02 Aug 2013,Dividend - Rs. - 3.5000,-,06 Aug 2013,13 Aug 2013,30 Jul 2013,05 Aug 2013,-,Dividend, 3.5000
5127,5127,526783,DRAGARWQ,Dr Agarwals Eye Hospital Ltd-$,02 Aug 2013,Final Dividend - Rs. - 1.2000,-,06 Aug 2013,13 Aug 2013,30 Jul 2013,05 Aug 2013,-,Final Dividend, 1.2000
5128,5128,533208,EMAMIPAP,Emami Paper Mills Ltd,02 Aug 2013,Dividend - Rs. - 0.6000,-,06 Aug 2013,13 Aug 2013,30 Jul 2013,05 Aug 2013,-,Dividend, 0.6000
5129,5129,526797,GREENPLY,Greenply Industries Ltd,02 Aug 2013,Dividend - Rs. - 3.0000,-,06 Aug 2013,08 Aug 2013,30 Jul 2013,05 Aug 2013,30 Aug 2013,Dividend, 3.0000
5130,5130,504036,HIRECT,Hind Rectifiers Ltd,02 Aug 2013,Dividend - Rs. - 1.6000,-,06 Aug 2013,12 Aug 2013,30 Jul 2013,05 Aug 2013,-,Dividend, 1.6000
5131,5131,520066,JAYBARMARU,Jay Bharat Maruti Ltd,02 Aug 2013,Dividend - Rs. - 1.5000,-,06 Aug 2013,19 Aug 2013,30 Jul 2013,05 Aug 2013,07 Sep 2013,Dividend, 1.5000
5132,5132,513369,KVFORGE,Krishanveer Forge Ltd,02 Aug 2013,Dividend - Rs. - 1.5000,-,06 Aug 2013,12 Aug 2013,30 Jul 2013,05 Aug 2013,-,Dividend, 1.5000
5133,5133,532621,MORARJEE,Morarjee Textiles Ltd,02 Aug 2013,Dividend - Rs. - 1.7500,-,06 Aug 2013,14 Aug 2013,02 Aug 2013,05 Aug 2013,26 Aug 2013,Dividend, 1.7500
5134,5134,533317,OMKARCHEM,Omkar Speciality Chemicals Ltd,02 Aug 2013,Dividend - Rs. - 1.5000,-,06 Aug 2013,13 Aug 2013,30 Jul 2013,05 Aug 2013,26 Aug 2013,Dividend, 1.5000
5135,5135,532735,RSYSTEMS,R Systems International Ltd,02 Aug 2013,Interim Dividend - Rs. - 2.5000,05 Aug 2013,-,-,01 Aug 2013,02 Aug 2013,19 Aug 2013,Interim Dividend, 2.5000
5136,5136,500113,SAIL,Steel Authority of India Ltd,02 Aug 2013,Final Dividend - Rs. - 0.4000,-,06 Aug 2013,30 Aug 2013,30 Jul 2013,05 Aug 2013,-,Final Dividend, 0.4000
5137,5137,523116,SANCTRN,Sanco Trans Ltd,02 Aug 2013,Dividend - Rs. - 2.7000,-,06 Aug 2013,12 Aug 2013,30 Jul 2013,05 Aug 2013,-,Dividend, 2.7000
5138,5138,530419,SUMEDHA,Sumedha Fiscal Services Ltd,02 Aug 2013,Dividend - Rs. - 0.5000,-,06 Aug 2013,10 Aug 2013,30 Jul 2013,05 Aug 2013,20 Aug 2013,Dividend, 0.5000
5139,5139,500575,VOLTAS,Voltas Ltd,02 Aug 2013,Dividend - Rs. - 1.6000,-,06 Aug 2013,19 Aug 2013,30 Jul 2013,05 Aug 2013,-,Dividend, 1.6000
5140,5140,533169, MANINFRA,Man Infraconstruction Ltd,05 Aug 2013,Final Dividend - Rs. - 2.2500,-,07 Aug 2013,13 Aug 2013,31 Jul 2013,06 Aug 2013,21 Aug 2013,Final Dividend, 2.2500
5141,5141,532960,DHANI,Dhani Services Ltd,05 Aug 2013,Interim Dividend - Rs. - 1.0000,06 Aug 2013,-,-,30 Jul 2013,05 Aug 2013,22 Aug 2013,Interim Dividend, 1.0000
5142,5142,532832,EMBDL,Embassy Developments Ltd,05 Aug 2013,Interim Dividend - Rs. - 1.0000,06 Aug 2013,-,-,30 Jul 2013,05 Aug 2013,22 Aug 2013,Interim Dividend, 1.0000
5143,5143,506390,HEUBACHIND,Heubach Colorants India Ltd,05 Aug 2013,Interim Dividend - Rs. - 10.0000,06 Aug 2013,-,-,30 Jul 2013,05 Aug 2013,-,Interim Dividend, 10.0000
5144,5144,532859,HGS,Hinduja Global Solutions Ltd,05 Aug 2013,Dividend - Rs. - 20.0000,-,07 Aug 2013,10 Aug 2013,31 Jul 2013,06 Aug 2013,-,Dividend, 20.0000
5145,5145,500189,NDLVENTURE,NDL Ventures Ltd,05 Aug 2013,Final Dividend - Rs. - 15.0000,-,07 Aug 2013,10 Aug 2013,31 Jul 2013,06 Aug 2013,-,Final Dividend, 15.0000
5146,5146,524210,PNTKYOR,Pentokey Organy India Ltd,05 Aug 2013,Dividend - Rs. - 1.0000,-,07 Aug 2013,13 Aug 2013,31 Jul 2013,06 Aug 2013,-,Dividend, 1.0000
5147,5147,500674,SANOFI,Sanofi India Ltd,05 Aug 2013,Interim Dividend - Rs. - 10.0000,06 Aug 2013,-,-,30 Jul 2013,05 Aug 2013,20 Aug 2013,Interim Dividend, 10.0000
5148,5148,531201,SHILCTECH,Shilchar Technologies Ltd,05 Aug 2013,Dividend - Rs. - 0.5000,-,07 Aug 2013,10 Aug 2013,31 Jul 2013,06 Aug 2013,-,Dividend, 0.5000
5149,5149,513709,SHILGRAVQ,Shilp Gravures Ltd-$,05 Aug 2013,Dividend - Rs. - 1.5000,-,07 Aug 2013,14 Aug 2013,31 Jul 2013,06 Aug 2013,-,Dividend, 1.5000
5150,5150,530459,VALSONQ,Valson Industries Ltd-$,05 Aug 2013,Dividend - Rs. - 0.5000,-,07 Aug 2013,13 Aug 2013,31 Jul 2013,06 Aug 2013,-,Dividend, 0.5000
5151,5151,500008,ARE&M,Amara Raja Energy & Mobility Ltd,06 Aug 2013,Dividend - Rs. - 2.5200,-,08 Aug 2013,14 Aug 2013,01 Aug 2013,07 Aug 2013,31 Aug 2013,Dividend, 2.5200
5152,5152,500870,CASTROLIND,Castrol India Ltd,06 Aug 2013,Interim Dividend - Rs. - 3.5000,07 Aug 2013,-,-,31 Jul 2013,06 Aug 2013,22 Aug 2013,Interim Dividend, 3.5000
5153,5153,500087,CIPLA,Cipla Ltd,06 Aug 2013,Dividend - Rs. - 2.0000,-,08 Aug 2013,22 Aug 2013,01 Aug 2013,07 Aug 2013,-,Dividend, 2.0000
5154,5154,502137,DECCANCE,Deccan Cements Ltd-$,06 Aug 2013,Dividend - Rs. - 2.0000,-,08 Aug 2013,14 Aug 2013,01 Aug 2013,07 Aug 2013,-,Dividend, 2.0000
5155,5155,507717,DHANUKA,Dhanuka Agritech Ltd,06 Aug 2013,Final Dividend - Rs. - 1.3000,-,08 Aug 2013,12 Aug 2013,01 Aug 2013,07 Aug 2013,05 Sep 2013,Final Dividend, 1.3000
5156,5156,500290,MRF,MRF Ltd,06 Aug 2013,Interim Dividend - Rs. - 3.0000,07 Aug 2013,-,-,31 Jul 2013,06 Aug 2013,-,Interim Dividend, 3.0000
5157,5157,513023,NAVA,Nava Ltd,06 Aug 2013,Dividend - Rs. - 5.0000,-,08 Aug 2013,16 Aug 2013,01 Aug 2013,07 Aug 2013,23 Aug 2013,Dividend, 5.0000
5158,5158,532854,NITINFIRE,Nitin Fire Protection Industries Ltd,06 Aug 2013,Dividend - Rs. - 0.2000,-,08 Aug 2013,13 Aug 2013,01 Aug 2013,07 Aug 2013,-,Dividend, 0.2000
5159,5159,517035,RIR,RIR Power Electronics Ltd,06 Aug 2013,Final Dividend - Rs. - 0.7500,-,08 Aug 2013,13 Aug 2013,01 Aug 2013,07 Aug 2013,-,Final Dividend, 0.7500
5160,5160,533284,RPPINFRA,R P P Infra Projects Ltd,06 Aug 2013,Dividend - Rs. - 0.5000,-,08 Aug 2013,16 Aug 2013,01 Aug 2013,07 Aug 2013,-,Dividend, 0.5000
5161,5161,500367,RUBFILA,Rubfila International Ltd,06 Aug 2013,Dividend - Rs. - 0.6000,-,08 Aug 2013,14 Aug 2013,01 Aug 2013,07 Aug 2013,04 Sep 2013,Dividend, 0.6000
5162,5162,532515,TVTODAY,TV Today Network Ltd,06 Aug 2013,Dividend - Rs. - 0.7500,-,08 Aug 2013,22 Aug 2013,01 Aug 2013,07 Aug 2013,-,Dividend, 0.7500
5163,5163,532613,VIPCLOTHNG,VIP Clothing Ltd,06 Aug 2013,Dividend - Rs. - 0.2500,-,08 Aug 2013,14 Aug 2013,01 Aug 2013,07 Aug 2013,-,Dividend, 0.2500
5164,5164,526881,63MOONS,63 Moons Technologies Ltd,07 Aug 2013,Interim Dividend - Rs. - 2.0000,08 Aug 2013,-,-,01 Aug 2013,07 Aug 2013,23 Aug 2013,Interim Dividend, 2.0000
5165,5165,533758,APLAPOLLO,APL Apollo Tubes Ltd,07 Aug 2013,Final Dividend - Rs. - 5.0000,-,10 Aug 2013,30 Aug 2013,02 Aug 2013,07 Aug 2013,-,Final Dividend, 5.0000
