Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
502986,VTL,Vardhman Textiles Ltd,08 Dec 2016,Buy Back of Shares ,09 Dec 2016,-,-,02 Dec 2016,07 Dec 2016,-
532889,KPRMILL,K.P.R. Mill Limited,29 Dec 2016,Buy Back of Shares ,31 Dec 2016,-,-,29 Dec 2016,29 Dec 2016,-
532663,SASKEN,Sasken Technologies Ltd,05 Jan 2017,Buy Back of Shares ,06 Jan 2017,-,-,30 Dec 2016,05 Jan 2017,-
500038,BALRAMCHIN,Balrampur Chini Mills Ltd,12 Jan 2017,Buy Back of Shares ,13 Jan 2017,-,-,06 Jan 2017,12 Jan 2017,-
507717,DHANUKA,Dhanuka Agritech Ltd,12 Jan 2017,Buy Back of Shares ,13 Jan 2017,-,-,06 Jan 2017,12 Jan 2017,-
532259,APARINDS,Apar Industries Ltd,19 Jan 2017,Buy Back of Shares ,20 Jan 2017,-,-,13 Jan 2017,19 Jan 2017,-
524226,GAEL,Gujarat Ambuja Exports Ltd,09 Feb 2017,Buy Back of Shares ,10 Feb 2017,-,-,03 Feb 2017,09 Feb 2017,-
513683,NLCINDIA,NLC India Ltd,09 Feb 2017,Buy Back of Shares ,10 Feb 2017,-,-,03 Feb 2017,09 Feb 2017,-
532553,WELENT,Welspun Enterprises Ltd,13 Feb 2017,Buy Back of Shares ,14 Feb 2017,-,-,07 Feb 2017,13 Feb 2017,-
533098,NHPC,NHPC Ltd,17 Feb 2017,Buy Back of Shares ,20 Feb 2017,-,-,13 Feb 2017,16 Feb 2017,-
532705,JAGRAN,Jagran Prakashan Ltd,22 Feb 2017,Buy Back of Shares ,24 Feb 2017,-,-,16 Feb 2017,22 Feb 2017,-
526299,MPHASIS,Mphasis Ltd,30 Mar 2017,Buy Back of Shares ,31 Mar 2017,-,-,23 Mar 2017,30 Mar 2017,-
533106,OIL,Oil India Ltd,03 Apr 2017,Buy Back of Shares ,05 Apr 2017,-,-,27 Mar 2017,03 Apr 2017,-
500472,SKFINDIA,SKF India Ltd,06 Apr 2017,Buy Back of Shares ,07 Apr 2017,-,-,30 Mar 2017,06 Apr 2017,-
532540,TCS,Tata Consultancy Services Ltd,05 May 2017,Buy Back of Shares ,08 May 2017,-,-,28 Apr 2017,05 May 2017,-
503101,MARATHON,Marathon Nextgen Realty Ltd,11 May 2017,Buy Back of Shares ,12 May 2017,-,-,04 May 2017,11 May 2017,-
532281,HCLTECH,HCL Technologies Ltd,24 May 2017,Buy Back of Shares ,25 May 2017,-,-,18 May 2017,24 May 2017,-
531253,INDGELA,India Gelatine & Chemicals Ltd,01 Jun 2017,Buy Back of Shares ,02 Jun 2017,-,-,26 May 2017,01 Jun 2017,-
506943,JBCHEPHARM,JB Chemicals & Pharmaceuticals Ltd,01 Jun 2017,Buy Back of Shares ,02 Jun 2017,-,-,26 May 2017,01 Jun 2017,-
532923,RGL,Renaissance Global Ltd,09 Jun 2017,Buy Back of Shares ,12 Jun 2017,-,-,05 Jun 2017,09 Jun 2017,-
526817,CHEVIOT,Cheviot Company Ltd,15 Jun 2017,Buy Back of Shares ,16 Jun 2017,-,-,09 Jun 2017,15 Jun 2017,-
