Plus91_id,Trading Symbol,Security_id,Exchange,Segment,Exchange Token
d25be60628af9236753f6b9023d1440c4509af8942dfce2b678ef67f4582bb3c,KFINTECH,NSE_EQ:13359,NSE,EQ,13359
0ae565a4ba06ef8f1c1b1647f94331c6eba43c1893cbc1b6816d8f253873352b,MOXSH,NSE_EQ:13502,NSE,EQ,13502
88cbe22348633dcccf06a6bbf89b09315780136bc1263dd0d13a1e10c2fd50a2,ELIN,NSE_EQ:13423,NSE,EQ,13423
d70a6ba2826e4ab5a79b08172ef9ccb9c3c684bb0eaa0a3c826d67973d67eb2c,UMA,NSE_EQ:13349,NSE,EQ,13349
1fd46bd32b4bcbbd31dcaa835cd480843184c57ca2db35a68f01f46358d4fe6f,DOLLEX,NSE_EQ:13323,NSE,EQ,13323
a85ab838e718785a61a19965f5ce905fed01f19a51ae9b4a6b82a86742af56b9,MEGAFLEX,NSE_EQ:10980,NSE,EQ,10980
9655acd42aa4c661dbcd4f6e20f1b5c4b58601a55de9bc99619dd7a176f846c5,AMEYA,NSE_EQ:10898,NSE,EQ,10898
bf997c837ed6ec8566398d430cf750536f030124c2b421b0402fb4f2a0da0a1d,RITEZONE,NSE_EQ:11910,NSE,EQ,11910
3855a8a8c668cf958204dbd329530907b4eea002f9b1c9457a75ef8ddf4499c9,VITAL,NSE_EQ:11920,NSE,EQ,11920
bdb6f5197742ee5808f007036ed5dfe92a5af86999ffe64455d835064f04eae8,AMIABLE,NSE_EQ:11939,NSE,EQ,11939
9899735958b77884ff434849ff607d76bc50a3cbcfdec44142d7fb7839ae703b,BINANIIND,NSE_EQ:13625,NSE,EQ,13625
05764352022079da841868083f4e9ffa99de8d2e67d375473a1497bf6c909ee7,WINSOME,NSE_EQ:14757,NSE,EQ,14757
5cd75e85a9e800e5132e16a422591ea3a0cf29d8556f9bc0b78518318406dffc,JUNIPER,NSE_EQ:22824,NSE,EQ,22824
57da88ad2631f4f244dd47ea6b60c65cefb4b45afb7cdf46fb5976216d64e8a8,NOVAAGRI,NSE_EQ:22477,NSE,EQ,22477
531f6602929810815f3f91cb71a8f56a0e260c6e3715ef5964b4596cacecafcd,LIQUID1,NSE_EQ:13950,NSE,EQ,13950
bb79d03e934d4130efa6ed9544fb22f8bc8c45f6a5b6de17000864df15693f20,NIFITETF,NSE_EQ:22488,NSE,EQ,22488
3a603fa1134ff67b817bd8d6839cc31d84c8b825201d1762c771e6ecafb4ba7e,AGARWALFT,NSE_EQ:14267,NSE,EQ,14267
c7651f4560224a0021c9a2f79ca151e021164d37f3fdeeda2be8825e30e13289,TRUST,NSE_EQ:23420,NSE,EQ,23420
6fa7183f566386c5f250daedf67a38aaeab8477c7194b413eba41d86c80499e1,CAPITALSFB,NSE_EQ:22675,NSE,EQ,22675
061be7a4ee68ce83c89a8de81afb0a1de8c4027af63f35aaec3bc5a493f05436,GOLDETF,NSE_EQ:14286,NSE,EQ,14286
7bb24ef9fbf31a1d1c835e46cc3af1957355ef76e71af354bc4a08389e6180e6,GSLSU,NSE_EQ:14599,NSE,EQ,14599
