,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
17,532636,IIFL,IIFL Finance Ltd,25 Jan 2010,Interim Dividend - Rs. - 1.8000,27 Jan 2010,-,-,19 Jan 2010,25 Jan 2010,-
18,500387,SHREECEM,Shree Cement Ltd,25 Jan 2010,Interim Dividend - Rs. - 5.0000,27 Jan 2010,-,-,19 Jan 2010,25 Jan 2010,-
19,532343,TVSMOTOR,TVS Motor Company Ltd,25 Jan 2010,Interim Dividend - Rs. - 0.7000,27 Jan 2010,-,-,19 Jan 2010,25 Jan 2010,-
20,509675,HIL,HIL Ltd,27 Jan 2010,Interim Dividend - Rs. - 6.0000,28 Jan 2010,-,-,20 Jan 2010,27 Jan 2010,-
21,524494,IPCALAB,Ipca Laboratories Ltd,27 Jan 2010,Interim Dividend - Rs. - 4.0000,28 Jan 2010,-,-,20 Jan 2010,27 Jan 2010,-
22,532540,TCS,Tata Consultancy Services Ltd,27 Jan 2010,Interim Dividend - Rs. - 2.0000,28 Jan 2010,-,-,20 Jan 2010,27 Jan 2010,-
23,532853,ASAHISONG,Asahi Songwon Colors Ltd,28 Jan 2010,Interim Dividend - Rs. - 0.7000,30 Jan 2010,-,-,22 Jan 2010,28 Jan 2010,-
24,513108,GANDHITUBE,Gandhi Special Tubes Ltd-$,28 Jan 2010,Interim Dividend - Rs. - 5.0000,29 Jan 2010,-,-,21 Jan 2010,28 Jan 2010,-
25,532767,GAYAPROJ,Gayatri Projects Ltd,28 Jan 2010,Interim Dividend - Rs. - 2.5000,29 Jan 2010,-,-,21 Jan 2010,28 Jan 2010,-
26,506184,KANANIIND,Kanani Industries Ltd,28 Jan 2010,Interim Dividend - Rs. - 0.2500,29 Jan 2010,-,-,21 Jan 2010,28 Jan 2010,-
27,522205,PRAJIND,Praj Industries Ltd,28 Jan 2010,Interim Dividend - Rs. - 1.4400,29 Jan 2010,-,-,21 Jan 2010,28 Jan 2010,-
28,532988,RANEENGINE,Rane Engine Valve Ltd,28 Jan 2010,Interim Dividend - Rs. - 1.5000,29 Jan 2010,-,-,21 Jan 2010,28 Jan 2010,-
29,532987,RBL,Rane Brake Lining Ltd,28 Jan 2010,Interim Dividend - Rs. - 3.0000,29 Jan 2010,-,-,21 Jan 2010,28 Jan 2010,-
30,532733,SUNTV,Sun TV Network Ltd,28 Jan 2010,Interim Dividend - Rs. - 1.5000,29 Jan 2010,-,-,21 Jan 2010,28 Jan 2010,-
31,532281,HCLTECH,HCL Technologies Ltd,29 Jan 2010,Interim Dividend - Rs. - 1.0000,01 Feb 2010,-,-,22 Jan 2010,29 Jan 2010,-
32,531120,PATELENG,Patel Engineering Ltd-$,29 Jan 2010,Interim Dividend - Rs. - 2.0000,01 Feb 2010,-,-,22 Jan 2010,29 Jan 2010,-
