Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
543516,DHYAANITR,Dhyaani Tradeventtures Ltd,23 Aug 2024,Right Issue of Equity Shares ,23 Aug 2024,-,-,22 Aug 2024,23 Aug 2024,-
539762,MEAPL,Modern Engineering And Projects Ltd,26 Aug 2024,Right Issue of Equity Shares ,26 Aug 2024,-,-,26 Aug 2024,26 Aug 2024,-
514175,VARDMNPOLY,Vardhman Polytex Ltd,28 Aug 2024,Right Issue of Equity Shares ,28 Aug 2024,-,-,28 Aug 2024,28 Aug 2024,-
534674,DUCON,Ducon Infratechnologies Ltd,30 Aug 2024,Right Issue of Equity Shares ,30 Aug 2024,-,-,30 Aug 2024,30 Aug 2024,-
540914,SRUSTEELS,SRU Steels Ltd,30 Aug 2024,Right Issue of Equity Shares ,31 Aug 2024,-,-,30 Aug 2024,30 Aug 2024,-
532817,ORIENTALTL,Oriental Trimex Ltd,05 Sep 2024,Right Issue of Equity Shares ,05 Sep 2024,-,-,05 Sep 2024,05 Sep 2024,-
526381,PATINTLOG,Patel Integrated Logistics Ltd,06 Sep 2024,Right Issue of Equity Shares ,06 Sep 2024,-,-,06 Sep 2024,06 Sep 2024,-
539041,GANVERSE,Ganesha Ecoverse Ltd,09 Sep 2024,Right Issue of Equity Shares ,09 Sep 2024,-,-,-,-,-
507265,EMERALL,Emerald Leisures Ltd,10 Sep 2024,Right Issue of Equity Shares ,10 Sep 2024,-,-,10 Sep 2024,10 Sep 2024,-
541929,SGIL,Synergy Green Industries Ltd,11 Sep 2024,Right Issue of Equity Shares ,11 Sep 2024,-,-,11 Sep 2024,11 Sep 2024,-
539773,ADVIKCA,Advik Capital Ltd,12 Sep 2024,Right Issue of Equity Shares ,12 Sep 2024,-,-,-,-,-
543643,NARMADA,Narmada Agrobase Ltd,13 Sep 2024,Right Issue of Equity Shares ,16 Sep 2024,-,-,16 Sep 2024,16 Sep 2024,-
506642,SADHNANIQ,Sadhana Nitro Chem Ltd,13 Sep 2024,Right Issue of Equity Shares ,13 Sep 2024,-,-,-,-,-
503663,TILAK,Tilak Ventures Ltd,13 Sep 2024,Right Issue of Equity Shares ,13 Sep 2024,-,-,12 Sep 2024,12 Sep 2024,-
501351,RAPIDIN,Rapid Investments Ltd,17 Sep 2024,Right Issue of Equity Shares ,18 Sep 2024,-,-,16 Sep 2024,18 Sep 2024,-
544191,PURPLEFIN,Purple Finance Ltd,26 Sep 2024,Right Issue of Equity Shares ,26 Sep 2024,-,-,26 Sep 2024,26 Sep 2024,-
532285,GEOJITFSL,Geojit Financial Services Ltd,07 Oct 2024,Right Issue of Equity Shares ,07 Oct 2024,-,-,07 Oct 2024,07 Oct 2024,-
540135,ARCFIN,ARC Finance Ltd,10 Oct 2024,Right Issue of Equity Shares ,10 Oct 2024,-,-,10 Oct 2024,10 Oct 2024,-
531328,KRETTOSYS,Kretto Syscon Ltd,11 Oct 2024,Right Issue of Equity Shares ,11 Oct 2024,-,-,11 Oct 2024,11 Oct 2024,-
517170,EDVENSWA,Edvenswa Enterprises Ltd,14 Oct 2024,Right Issue of Equity Shares ,14 Oct 2024,-,-,14 Oct 2024,14 Oct 2024,-
539399,BELLACASA,Bella Casa Fashion & Retail Ltd,18 Oct 2024,Right Issue of Equity Shares ,19 Oct 2024,-,-,18 Oct 2024,18 Oct 2024,-
539449,IGCIL,IGC Industries Ltd,18 Oct 2024,Right Issue of Equity Shares ,18 Oct 2024,-,-,18 Oct 2024,18 Oct 2024,-
539310,THINKINK,Thinkink Picturez Ltd,18 Oct 2024,Right Issue of Equity Shares ,18 Oct 2024,-,-,18 Oct 2024,18 Oct 2024,-
543410,DMR,DMR Hydroengineering & Infrastructures Ltd,22 Oct 2024,Right Issue of Equity Shares ,22 Oct 2024,-,-,22 Oct 2024,22 Oct 2024,-
531153,DILIGENT,Diligent Industries Ltd,24 Oct 2024,Right Issue of Equity Shares ,24 Oct 2024,-,-,24 Oct 2024,24 Oct 2024,-
512415,MERCTRD,Mercury Trade Links Ltd,24 Oct 2024,Right Issue of Equity Shares ,24 Oct 2024,-,-,24 Oct 2024,24 Oct 2024,-
542905,HINDWAREAP,Hindware Home Innovation Ltd,25 Oct 2024,Right Issue of Equity Shares ,25 Oct 2024,-,-,25 Oct 2024,25 Oct 2024,-
534060,PMCFIN,PMC Fincorp Ltd,25 Oct 2024,Right Issue of Equity Shares ,25 Oct 2024,-,-,25 Oct 2024,25 Oct 2024,-
540259,SHANGAR,Shangar Decor Ltd,28 Oct 2024,Right Issue of Equity Shares ,28 Oct 2024,-,-,28 Oct 2024,28 Oct 2024,-
524434,ASINPET,Asian Petroproducts & Exports Ltd,30 Oct 2024,Right Issue of Equity Shares ,30 Oct 2024,-,-,30 Oct 2024,30 Oct 2024,-
530095,PRADHIN,Pradhin Ltd,14 Nov 2024,Right Issue of Equity Shares ,14 Nov 2024,-,-,14 Nov 2024,14 Nov 2024,-
517554,NHCFOODS,NHC Foods Ltd,26 Nov 2024,Right Issue of Equity Shares ,26 Nov 2024,-,-,26 Nov 2024,26 Nov 2024,-
512070,UPL,UPL Ltd,26 Nov 2024,Right Issue of Equity Shares ,26 Nov 2024,-,-,26 Nov 2024,26 Nov 2024,-
526544,SGLRES,SGL Resources Ltd,27 Nov 2024,Right Issue of Equity Shares ,27 Nov 2024,-,-,27 Nov 2024,27 Nov 2024,-
512441,ENBETRD,Enbee Trade & Finance Ltd,28 Nov 2024,Right Issue of Equity Shares ,28 Nov 2024,-,-,28 Nov 2024,28 Nov 2024,-
531402,LWSKNIT,LWS Knitwear Ltd,28 Nov 2024,Right Issue of Equity Shares ,28 Nov 2024,-,-,28 Nov 2024,28 Nov 2024,-
542446,JONJUA,Jonjua Overseas Ltd,29 Nov 2024,Right Issue of Equity Shares ,29 Nov 2024,-,-,29 Nov 2024,29 Nov 2024,-
523796,VHLTD,Viceroy Hotels Ltd,29 Nov 2024,Right Issue of Equity Shares ,29 Nov 2024,-,-,29 Nov 2024,29 Nov 2024,-
513536,GNRL,Gujarat Natural Resources Ltd,03 Dec 2024,Right Issue of Equity Shares ,03 Dec 2024,-,-,03 Dec 2024,03 Dec 2024,-
530167,MONGIPA,Moongipa Capital Finance Ltd,03 Dec 2024,Right Issue of Equity Shares ,03 Dec 2024,-,-,03 Dec 2024,03 Dec 2024,-
531525,ACESOFT,ACE Software Exports Ltd,05 Dec 2024,Right Issue of Equity Shares ,05 Dec 2024,-,-,05 Dec 2024,05 Dec 2024,-
538565,VISTARAMAR,Vistar Amar Ltd,06 Dec 2024,Right Issue of Equity Shares ,06 Dec 2024,-,-,06 Dec 2024,06 Dec 2024,-
538452,QUASAR,Quasar India Ltd,11 Dec 2024,Right Issue of Equity Shares ,11 Dec 2024,-,-,11 Dec 2024,11 Dec 2024,-
511589,AVONMORE,Avonmore Capital & Management Services Ltd,12 Dec 2024,Right Issue of Equity Shares ,12 Dec 2024,-,-,12 Dec 2024,12 Dec 2024,-
511764,AASTAFIN,Aastamangalam Finance Ltd,13 Dec 2024,Right Issue of Equity Shares ,13 Dec 2024,-,-,13 Dec 2024,13 Dec 2024,-
542724,MURAE,Murae Organisor Ltd,19 Dec 2024,Right Issue of Equity Shares ,19 Dec 2024,-,-,19 Dec 2024,19 Dec 2024,-
531417,MEGACOR,Mega Corporation Ltd,20 Dec 2024,Right Issue of Equity Shares ,20 Dec 2024,-,-,20 Dec 2024,20 Dec 2024,-
530109,ANUPAM,Anupam Finserv Ltd,27 Dec 2024,Right Issue of Equity Shares ,27 Dec 2024,-,-,27 Dec 2024,27 Dec 2024,-
532180,DHANBANK,Dhanlaxmi Bank Ltd,27 Dec 2024,Right Issue of Equity Shares ,27 Dec 2024,-,-,27 Dec 2024,27 Dec 2024,-
511557,PROFINC,Pro Fin Capital Services Ltd,31 Dec 2024,Right Issue of Equity Shares ,31 Dec 2024,-,-,31 Dec 2024,31 Dec 2024,-
539584,SIPTL,Sharanam Infraproject and Trading Ltd,31 Dec 2024,Right Issue of Equity Shares ,31 Dec 2024,-,-,31 Dec 2024,31 Dec 2024,-
512091,NIBEORD,Nibe Ordnance and Maritime Ltd,07 Jan 2025,Right Issue of Equity Shares ,07 Jan 2025,-,-,07 Jan 2025,07 Jan 2025,-
532834,CAMLINFINE,Camlin Fine Sciences Ltd,08 Jan 2025,Right Issue of Equity Shares ,08 Jan 2025,-,-,08 Jan 2025,08 Jan 2025,-
530457,GTTDATA,GTT Data Solutions Ltd,14 Jan 2025,Right Issue of Equity Shares ,14 Jan 2025,-,-,14 Jan 2025,14 Jan 2025,-
532386,CALSOFT,California Software Company Ltd,15 Jan 2025,Right Issue of Equity Shares ,15 Jan 2025,-,-,15 Jan 2025,15 Jan 2025,-
538706,ULTRACAB,Ultracab (India) Ltd,16 Jan 2025,Right Issue of Equity Shares ,16 Jan 2025,-,-,16 Jan 2025,16 Jan 2025,-
539692,IFINSER,Interactive Financial Services Ltd,17 Jan 2025,Right Issue of Equity Shares ,17 Jan 2025,-,-,17 Jan 2025,17 Jan 2025,-
524614,INDXTRA,IEL Ltd,17 Jan 2025,Right Issue of Equity Shares ,17 Jan 2025,-,-,17 Jan 2025,17 Jan 2025,-
