Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
538597,TTIENT,TTI Enterprise Ltd,21 Dec 2016,Consolidation of Shares ,22 Dec 2016,-,-,15 Dec 2016,21 Dec 2016,-
531898,SANGUI,Sanguine Media Ltd,19 Jan 2017,Consolidation of Shares ,20 Jan 2017,-,-,13 Jan 2017,19 Jan 2017,-
531611,AADHAARVEN,Aadhaar Ventures India Ltd,02 Mar 2017,Consolidation of Shares ,03 Mar 2017,-,-,23 Feb 2017,02 Mar 2017,-
531695,VERONICAPRO,Veronica Production Ltd,23 Mar 2017,Consolidation of Shares ,24 Mar 2017,-,-,17 Mar 2017,23 Mar 2017,-
540386,ONTIC,Ontic Finserve Ltd,13 Apr 2017,Consolidation of Shares ,17 Apr 2017,-,-,07 Apr 2017,13 Apr 2017,-
512149,AVANCE,Avance Technologies Ltd,24 Apr 2017,Consolidation of Shares ,25 Apr 2017,-,-,18 Apr 2017,24 Apr 2017,-
539594,MISHTANN ,Mishtann Foods Ltd,05 May 2017,Consolidation of Shares ,08 May 2017,-,-,28 Apr 2017,05 May 2017,-
531225,XTGLOBAL,Xtglobal Infotech Ltd,12 May 2017,Consolidation of Shares ,15 May 2017,-,-,05 May 2017,12 May 2017,-
531463,GBLINFRA,Global Infratech & Finance Ltd,23 Aug 2017,Consolidation of Shares ,25 Aug 2017,-,-,18 Aug 2017,23 Aug 2017,-
509053,BANASFN,Banas Finance Ltd,29 Aug 2017,Consolidation of Shares ,30 Aug 2017,-,-,22 Aug 2017,29 Aug 2017,-
514358,EVERFIN,Everlon Financials Ltd,29 Sep 2017,Consolidation of Shares ,03 Oct 2017,-,-,25 Sep 2017,29 Sep 2017,-
536709,INDRENEW,IND Renewable Energy Ltd,29 Sep 2017,Consolidation of Shares ,03 Oct 2017,-,-,25 Sep 2017,29 Sep 2017,-
540361,DANUBE,Danube Industries Ltd,16 Oct 2017,Consolidation of Shares ,17 Oct 2017,-,-,10 Oct 2017,16 Oct 2017,-
531591,BAMPSL,Bampsl Securities Ltd,26 Oct 2017,Consolidation of Shares ,27 Oct 2017,-,-,18 Oct 2017,26 Oct 2017,-
531502,ESARIND,Esaar India Ltd,10 Nov 2017,Consolidation of Shares ,13 Nov 2017,-,-,06 Nov 2017,10 Nov 2017,-
511092,JMDVL,JMD Ventures Ltd,04 Dec 2017,Consolidation of Shares ,05 Dec 2017,-,-,27 Nov 2017,04 Dec 2017,-
504340,LONGSPUR,Longspur International Ventures Ltd,27 Dec 2017,Consolidation of Shares ,28 Dec 2017,-,-,20 Dec 2017,27 Dec 2017,-
530187,ATHARVENT,Atharv Enterprises Ltd,12 Apr 2018,Consolidation of Shares ,13 Apr 2018,-,-,06 Apr 2018,12 Apr 2018,-
506863,SWADEIN,Swadeshi Industries & Leasing Ltd,14 Jun 2018,Consolidation of Shares ,15 Jun 2018,-,-,08 Jun 2018,14 Jun 2018,-
512131,SIGIND,Signet Industries Ltd,13 Aug 2018,Consolidation of Shares ,14 Aug 2018,-,-,07 Aug 2018,13 Aug 2018,-
512595,MANBRO,Manbro Industries Ltd,11 Oct 2018,Consolidation of Shares ,12 Oct 2018,-,-,05 Oct 2018,11 Oct 2018,-
540023,COLORCHIPS,Colorchips New Media Ltd,22 Oct 2018,Consolidation of Shares ,23 Oct 2018,-,-,15 Oct 2018,22 Oct 2018,-
532113,BRIJLEAS,Brijlaxmi Leasing & Finance Ltd,15 Nov 2018,Consolidation of Shares ,17 Nov 2018,-,-,12 Nov 2018,15 Nov 2018,-
505850,MANCREDIT,Mangal Credit and Fincorp Ltd,26 Nov 2018,Consolidation of Shares ,27 Nov 2018,-,-,16 Nov 2018,26 Nov 2018,-
531216,COMFINTE,Comfort Intech Ltd-$,24 Jan 2019,Consolidation of Shares ,25 Jan 2019,-,-,18 Jan 2019,24 Jan 2019,-
502901,JAMSHRI,Jamshri Realty Ltd-$,21 Feb 2019,Consolidation of Shares ,22 Feb 2019,-,-,18 Feb 2019,21 Feb 2019,-
539310,THINKINK,Thinkink Picturez Ltd,06 Feb 2020,Consolidation of Shares ,07 Feb 2020,-,-,31 Jan 2020,06 Feb 2020,-
537069,ARNOLD,Arnold Holdings Ltd,18 Mar 2020,Consolidation of Shares ,19 Mar 2020,-,-,12 Mar 2020,18 Mar 2020,-
532467,HAZOOR,Hazoor Multi Projects Ltd-$,01 Jan 2021,Consolidation of Shares ,04 Jan 2021,-,-,28 Dec 2020,01 Jan 2021,-
531512,ORIENTTR,Orient Tradelink Ltd,17 Feb 2021,Consolidation of Shares ,20 Feb 2021,-,-,15 Feb 2021,17 Feb 2021,-
530787,INLANPR,Inland Printers Ltd,09 Apr 2021,Consolidation of Shares ,12 Apr 2021,-,-,05 Apr 2021,08 Apr 2021,-
505302,LAKSHMIEW,Lakshmi Engineering And Warehousing Ltd,04 May 2021,Consolidation of Shares ,05 May 2021,-,-,28 Apr 2021,04 May 2021,-
531737,GREENCREST,Greencrest Financial Services Ltd,20 May 2021,Consolidation of Shares ,21 May 2021,-,-,14 May 2021,20 May 2021,-
539911,SNIM,Svarnim Trade Udyog Ltd,01 Jun 2022,Consolidation of Shares ,02 Jun 2022,-,-,26 May 2022,01 Jun 2022,-
533018,SIMPLXMIL,Simplex Mills Company Ltd,26 May 2023,Consolidation of Shares ,26 May 2023,-,-,22 May 2023,26 May 2023,-
533019,SIMPLXPAP,Simplex Papers Ltd,26 May 2023,Consolidation of Shares ,26 May 2023,-,-,22 May 2023,26 May 2023,-
540615,7NR,7NR Retail Ltd,05 Jan 2024,Consolidation of Shares ,05 Jan 2024,-,-,01 Jan 2024,05 Jan 2024,-
532925,KAUSHALYA,Kaushalya Infrastructure Development Corporation Ltd,12 Jan 2024,Consolidation of Shares ,12 Jan 2024,-,-,08 Jan 2024,12 Jan 2024,-
540023,COLORCHIPS,Colorchips New Media Ltd,12 Jun 2024,Consolidation of Shares ,12 Jun 2024,-,-,12 Jun 2024,12 Jun 2024,-
533301,SHEKHAWATI,Shekhawati Industries Ltd,28 Aug 2024,Consolidation of Shares ,28 Aug 2024,-,-,28 Aug 2024,28 Aug 2024,-
