Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
522073,HITECHGEAR,The Hi-Tech Gears Ltd,01 Dec 2010,Bonus issue 1:1,02 Dec 2010,-,-,25 Nov 2010,01 Dec 2010,-
532323,SHIVACEM,Shiva Cement Ltd,09 Dec 2010,Bonus issue 1:10,11 Dec 2010,-,-,06 Dec 2010,09 Dec 2010,-
506166,APIS,Apis India Ltd,10 Dec 2010,Bonus issue 323:100,17 Dec 2010,-,-,10 Dec 2010,22 Dec 2010,-
522074,ELGIEQUIP,Elgi Equipments Ltd,14 Dec 2010,Bonus issue 1:1,-,16 Dec 2010,17 Dec 2010,09 Dec 2010,15 Dec 2010,-
524051,POLYPLEX,Polyplex Corporation Ltd,23 Dec 2010,Bonus issue 1:1,25 Dec 2010,-,-,20 Dec 2010,23 Dec 2010,-
531977,CHLOGIST,Chartered Logistics Ltd,24 Dec 2010,Bonus issue 1:1,27 Dec 2010,-,-,20 Dec 2010,24 Dec 2010,-
532493,ASTRAMICRO,Astra Microwave Products Ltd,30 Dec 2010,Bonus issue 1:2,31 Dec 2010,-,-,24 Dec 2010,30 Dec 2010,-
530075,SELAN,Selan Exploration Technology Ltd-$,31 Dec 2010,Bonus issue 1:10,03 Jan 2011,-,-,27 Dec 2010,31 Dec 2010,-
532948,TULSI,Tulsi Extrusions Ltd,07 Jan 2011,Bonus issue 1:10,10 Jan 2011,-,-,03 Jan 2011,07 Jan 2011,-
511626,RRFIN,RR Financial Consultants Ltd,13 Jan 2011,Bonus issue 1:1,15 Jan 2011,-,-,10 Jan 2011,13 Jan 2011,-
500312,ONGC,Oil and Natural Gas Corporation Ltd,08 Feb 2011,Bonus issue 1:1,09 Feb 2011,-,-,02 Feb 2011,08 Feb 2011,-
512608,BHANDARI,Bhandari Hosiery Exports Ltd,24 Feb 2011,Bonus issue 7:20,25 Feb 2011,-,-,18 Feb 2011,24 Feb 2011,-
517467,MARSONS,Marsons Ltd,04 Mar 2011,Bonus issue 1:4,07 Mar 2011,-,-,25 Feb 2011,04 Mar 2011,-
500188,HINDZINC,Hindustan Zinc Ltd,07 Mar 2011,Bonus issue 1:1,08 Mar 2011,-,-,28 Feb 2011,07 Mar 2011,-
